depth_A                  	phonons_eV-Aion          	ionizations_eV-Aion      	frenkelpairs_vac-Aion    	implantedIons_-cm        
1.4000100000e+03         	1.2730453500e-03         	6.7188156973e+00         	4.0029770000e-06         	5.7143500000e-01         
2.8000100000e+03         	1.7757357000e-03         	6.7260932210e+00         	1.5020264500e-05         	5.0001000000e-01         
4.2000100000e+03         	2.3572542000e-03         	6.7405757474e+00         	2.6757812000e-05         	7.1428500000e-01         
5.6000100000e+03         	3.0018666000e-03         	6.7650675638e+00         	4.1443140000e-05         	5.0001000000e-01         
7.0000100000e+03         	3.7425857000e-03         	6.8015620505e+00         	5.8357995000e-05         	1.0000050000e+00         
8.4000100000e+03         	2.2565614500e-03         	6.8337057317e+00         	2.8519639000e-05         	5.0000500000e-01         
9.8000100000e+03         	2.5491289000e-03         	6.8560331777e+00         	3.5392485000e-05         	7.8571500000e-01         
1.1200000000e+04         	2.7733969500e-03         	6.8841050080e+00         	4.0219955000e-05         	6.4286500000e-01         
1.2600000000e+04         	2.9910785500e-03         	6.9146619297e+00         	4.7250460000e-05         	1.2143000000e+00         
1.4000000000e+04         	3.1652537000e-03         	6.9471194777e+00         	5.1019805000e-05         	1.7857200000e+00         
1.5400000000e+04         	3.0810459000e-03         	6.9814320517e+00         	4.8145270000e-05         	1.2857250000e+00         
1.6800000000e+04         	3.2414621500e-03         	7.0163123278e+00         	5.2686650000e-05         	1.4285700000e+00         
1.8200000000e+04         	3.2080216500e-03         	7.0492995567e+00         	5.1478240000e-05         	1.2857300000e+00         
1.9600000000e+04         	3.2772445500e-03         	7.0813371674e+00         	5.2729090000e-05         	1.0714350000e+00         
2.1000000000e+04         	3.1190543500e-03         	7.1156290613e+00         	4.8122175000e-05         	1.5714350000e+00         
2.2400000000e+04         	3.1538882000e-03         	7.1487586335e+00         	4.9240255000e-05         	1.2857250000e+00         
2.3800000000e+04         	3.2843603000e-03         	7.1827848794e+00         	5.2660755000e-05         	1.3571400000e+00         
2.5200000000e+04         	3.3715559000e-03         	7.2177491089e+00         	5.5036070000e-05         	1.4285800000e+00         
2.6600000000e+04         	3.4420959000e-03         	7.2528279255e+00         	5.5405680000e-05         	1.4999950000e+00         
2.8000000000e+04         	3.4148497000e-03         	7.2889762657e+00         	5.5284010000e-05         	1.5714300000e+00         
2.9400000000e+04         	3.5500271500e-03         	7.3258412650e+00         	5.8663495000e-05         	1.5000100000e+00         
3.0800000000e+04         	3.5042635000e-03         	7.3657404856e+00         	5.6997065000e-05         	1.9285800000e+00         
3.2200000000e+04         	3.4075841500e-03         	7.4061885292e+00         	5.3521900000e-05         	1.8571450000e+00         
3.3600000000e+04         	3.8009206500e-03         	7.4500435296e+00         	6.4670515000e-05         	2.5714250000e+00         
