# Tc = 0.00 K, up-ffj51-0e19pm2-0T-
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-26_03:04:22.773000      13964.12        9.06373300e-03       -4.65442100e-08  85.6619  84.1598  84.9681  0.0000
0202-03-26_03:04:23.670000      13965.01        8.69579700e-03       -3.37770900e-08  85.6181  84.1661  84.9065  0.0000
0202-03-26_03:04:24.560000      13965.90        8.95901900e-03        2.10409550e-08  85.6452  84.1748  84.9158  0.0000
0202-03-26_03:04:25.438000      13966.78        8.95649100e-03       -4.85894300e-08  85.6825  84.1828  84.9475  0.0000
0202-03-26_03:04:26.310000      13967.65        9.05467000e-03        7.54874400e-08  85.7409  84.1921  84.9816  0.0000
0202-03-26_03:04:27.210000      13968.55        8.97771400e-03        1.98324000e-09  85.7376  84.1995  85.0302  0.0000
0202-03-26_03:04:28.100000      13969.44        9.07493000e-03       -2.20635700e-08  85.7376  84.1995  85.0302  0.0000
0202-03-26_03:04:28.973000      13970.32        8.92584100e-03        3.59462500e-09  85.7090  84.2060  84.9990  0.0000
0202-03-26_03:04:29.840000      13971.18        9.42683600e-03        6.09847050e-08  85.6767  84.2120  84.9850  0.0000
0202-03-26_03:04:30.715000      13972.06        9.05667600e-03       -1.57419900e-08  85.6546  84.2182  84.9663  0.0000
0202-03-26_03:04:31.582000      13972.92        9.12205700e-03        3.09571750e-08  85.6528  84.2287  84.9326  0.0000
0202-03-26_03:04:32.450000      13973.79        8.97964600e-03       -1.41001350e-08  85.6854  84.2366  84.9606  0.0000
0202-03-26_03:04:33.320000      13974.66        9.04049700e-03       -1.02570800e-08  85.7279  84.2468  84.9880  0.0000
0202-03-26_03:04:34.215000      13975.56        9.27322000e-03       -2.87570050e-08  85.7299  84.2558  84.9941  0.0000
0202-03-26_03:04:35.113000      13976.45        9.00027500e-03       -7.03430500e-09  85.7299  84.2558  84.9941  0.0000
0202-03-26_03:04:35.980000      13977.32        9.03411500e-03       -1.80041150e-08  85.7246  84.2649  85.0192  0.0000
0202-03-26_03:04:36.848000      13978.19        8.88176100e-03        3.40869500e-09  85.7078  84.2710  85.0054  0.0000
0202-03-26_03:04:37.720000      13979.06        8.86528600e-03       -1.82211750e-08  85.6770  84.2802  84.9935  0.0000
0202-03-26_03:04:38.586000      13979.93        8.91196500e-03        3.24135950e-08  85.6862  84.2904  84.9873  0.0000
0202-03-26_03:04:39.457000      13980.80        9.05385400e-03        4.95810500e-09  85.6891  84.3015  84.9687  0.0000
0202-03-26_03:04:40.330000      13981.67        8.75552700e-03        3.64110650e-08  85.7099  84.3098  84.9947  0.0000
0202-03-26_03:04:41.242000      13982.58        8.77927300e-03       -2.02352500e-08  85.7445  84.3192  85.0050  0.0000
0202-03-26_03:04:42.125000      13983.47        8.89407900e-03       -6.04268500e-09  85.7445  84.3192  85.0050  0.0000
0202-03-26_03:04:43.008000      13984.35        9.05727000e-03       -4.62343000e-08  85.7472  84.3272  85.0435  0.0000
0202-03-26_03:04:43.883000      13985.23        8.94083200e-03        5.58105700e-08  85.7142  84.3357  85.0177  0.0000
0202-03-26_03:04:44.770000      13986.11        8.86476400e-03        4.70400250e-08  85.7229  84.3454  85.0368  0.0000
0202-03-26_03:04:45.700000      13987.04        9.05882400e-03       -5.35165500e-08  85.7027  84.3544  85.0251  0.0000
0202-03-26_03:04:46.590000      13987.93        8.78461700e-03        2.64638850e-08  85.6938  84.3622  85.0014  0.0000
0202-03-26_03:04:47.470000      13988.81        8.97526400e-03        6.29059500e-09  85.7456  84.3720  85.0312  0.0000
0202-03-26_03:04:48.348000      13989.69        8.98773100e-03        1.62377950e-08  85.7671  84.3798  85.0599  0.0000
0202-03-26_03:04:49.266000      13990.61        8.85496800e-03       -4.25467350e-08  85.7813  84.3887  85.0571  0.0000
0202-03-26_03:04:50.140000      13991.48        8.92569100e-03        3.30330450e-08  85.7960  84.3978  85.0550  0.0000
0202-03-26_03:04:51.023000      13992.37        9.09110400e-03        6.04268750e-08  85.7960  84.3978  85.0550  0.0000
0202-03-26_03:04:51.902000      13993.24        8.72799000e-03       -4.95500400e-08  85.7614  84.4076  85.0561  0.0000
0202-03-26_03:04:52.780000      13994.12        9.09837200e-03        1.33249000e-08  85.7329  84.4176  85.0501  0.0000
0202-03-26_03:04:53.664000      13995.01        9.15462400e-03       -5.43532000e-08  85.7443  84.4265  85.0553  0.0000
0202-03-26_03:04:54.547000      13995.89        8.68138400e-03       -7.74705000e-10  85.7289  84.4369  85.0522  0.0000
0202-03-26_03:04:55.418000      13996.76        9.07232600e-03        3.53330000e-09  85.7534  84.4449  85.0553  0.0000
0202-03-26_03:04:56.300000      13997.64        8.77867700e-03        5.45701500e-08  85.7826  84.4538  85.1062  0.0000
0202-03-26_03:04:57.168000      13998.51        8.98372000e-03       -1.46264100e-08  85.7979  84.4636  85.1012  0.0000
0202-03-26_03:04:58.047000      13999.39        9.27737100e-03        3.12980500e-09  85.7979  84.4636  85.1012  0.0000
0202-03-26_03:04:58.920000      14000.26        9.27722400e-03        1.85309200e-08  85.8274  84.4727  85.1133  0.0000
0202-03-26_03:04:59.800000      14001.14        9.19411000e-03        7.79352250e-08  85.8089  84.4825  85.0992  0.0000
0202-03-26_03:05:00.690000      14002.03        9.19841700e-03       -6.44553500e-09  85.7959  84.4908  85.0903  0.0000
0202-03-26_03:05:01.566000      14002.91        9.06781100e-03        5.10682050e-08  85.8041  84.4978  85.0979  0.0000
0202-03-26_03:05:02.434000      14003.78        9.32428700e-03       -3.88901300e-08  85.7722  84.5090  85.1024  0.0000
0202-03-26_03:05:03.310000      14004.65        9.25178400e-03        4.85584400e-08  85.7859  84.5155  85.0948  0.0000
0202-03-26_03:05:04.242000      14005.58        9.20005800e-03       -1.71054650e-08  85.8006  84.5263  85.1217  0.0000
0202-03-26_03:05:05.137000      14006.48        9.23605000e-03       -4.26397000e-08  85.8006  84.5263  85.1217  0.0000
0202-03-26_03:05:06.010000      14007.35        9.24013100e-03        1.74773200e-08  85.8356  84.5364  85.1428  0.0000
0202-03-26_03:05:06.883000      14008.22        9.09994800e-03        1.79111850e-08  85.8561  84.5500  85.1590  0.0000
0202-03-26_03:05:07.754000      14009.09        9.06106400e-03       -7.52392150e-08  85.8722  84.5590  85.1637  0.0000
0202-03-26_03:05:08.660000      14010.00        9.16622400e-03       -2.81682400e-08  85.8413  84.5683  85.1331  0.0000
0202-03-26_03:05:09.530000      14010.87        8.93446900e-03       -1.38207200e-08  85.8005  84.5757  85.1292  0.0000
0202-03-26_03:05:10.402000      14011.74        9.08356300e-03       -2.76414400e-08  85.8026  84.5858  85.1314  0.0000
0202-03-26_03:05:11.273000      14012.61        8.69484800e-03       -6.10466500e-09  85.8034  84.5933  85.1348  0.0000
0202-03-26_03:05:12.145000      14013.49        8.93351000e-03       -2.54103000e-09  85.8599  84.6051  85.1783  0.0000
0202-03-26_03:05:13.016000      14014.36        8.85009600e-03       -2.75796500e-09  85.8599  84.6051  85.1783  0.0000
0202-03-26_03:05:13.883000      14015.23        9.19888600e-03        1.66096500e-08  85.8911  84.6144  85.2229  0.0000
0202-03-26_03:05:14.750000      14016.09        9.08875700e-03        5.72661150e-08  85.9382  84.6231  85.2357  0.0000
0202-03-26_03:05:15.664000      14017.01        9.07413800e-03        1.86858600e-08  85.8775  84.6316  85.1880  0.0000
0202-03-26_03:05:16.535000      14017.88        9.00141000e-03        1.61758200e-08  85.8322  84.6397  85.1613  0.0000
0202-03-26_03:05:17.406000      14018.75        8.96029700e-03       -1.54940000e-10  85.8481  84.6490  85.1661  0.0000
0202-03-26_03:05:18.277000      14019.62        8.91309700e-03       -1.01331250e-08  85.8634  84.6549  85.1734  0.0000
0202-03-26_03:05:19.150000      14020.49        9.20385400e-03        6.56887000e-09  85.8902  84.6666  85.2011  0.0000
0202-03-26_03:05:20.020000      14021.36        9.04437300e-03       -2.86330450e-08  85.8902  84.6666  85.2011  0.0000
0202-03-26_03:05:20.887000      14022.23        8.93209100e-03        6.63146000e-09  85.9582  84.6793  85.2795  0.0000
0202-03-26_03:05:21.754000      14023.10        8.98774700e-03       -4.00366800e-08  85.9573  84.6869  85.2798  0.0000
0202-03-26_03:05:22.652000      14023.99        8.88244200e-03        6.35257000e-09  85.9514  84.6971  85.2768  0.0000
0202-03-26_03:05:23.527000      14024.87        9.02834100e-03       -5.81337550e-08  85.9022  84.7050  85.2492  0.0000
0202-03-26_03:05:24.395000      14025.74        9.14819200e-03        3.51096300e-08  85.8701  84.7162  85.1860  0.0000
0202-03-26_03:05:25.270000      14026.61        9.08400000e-03        1.93056800e-08  85.9001  84.7241  85.2203  0.0000
0202-03-26_03:05:26.145000      14027.49        9.02322000e-03        1.74773200e-08  85.9502  84.7318  85.2449  0.0000
0202-03-26_03:05:27.008000      14028.35        8.83643000e-03       -2.51004000e-09  85.9502  84.7318  85.2449  0.0000
0202-03-26_03:05:27.875000      14029.22        9.20748000e-03        1.35418250e-08  85.9728  84.7443  85.3179  0.0000
0202-03-26_03:05:28.750000      14030.09        9.11249000e-03        2.79513150e-08  85.9940  84.7518  85.3348  0.0000
0202-03-26_03:05:29.676000      14031.02        9.29460300e-03       -3.96648350e-08  85.9694  84.7615  85.3006  0.0000
0202-03-26_03:05:30.566000      14031.91        9.19768300e-03       -9.20458000e-09  85.9239  84.7721  85.2809  0.0000
0202-03-26_03:05:31.440000      14032.78        9.10046700e-03        7.14896150e-08  85.9366  84.7807  85.2652  0.0000
0202-03-26_03:05:32.312000      14033.65        8.96273100e-03        1.43784900e-08  85.9889  84.7903  85.2928  0.0000
0202-03-26_03:05:33.195000      14034.54        9.10098400e-03        2.61539800e-08  85.9999  84.7999  85.3117  0.0000
0202-03-26_03:05:34.094000      14035.44        9.00035400e-03        2.46355600e-08  85.9999  84.7999  85.3117  0.0000
0202-03-26_03:05:34.965000      14036.30        9.07389600e-03       -5.14093100e-08  86.0261  84.8096  85.3567  0.0000
0202-03-26_03:05:35.832000      14037.17        8.98647600e-03        3.96648000e-09  86.0073  84.8198  85.3357  0.0000
0202-03-26_03:05:36.715000      14038.06        8.97994500e-03        3.28514500e-09  85.9650  84.8278  85.3267  0.0000
0202-03-26_03:05:37.582000      14038.93        9.18469200e-03        7.60139100e-08  85.9939  84.8402  85.3245  0.0000
0202-03-26_03:05:38.450000      14039.79        9.28710100e-03       -2.41397650e-08  86.0400  84.8486  85.3550  0.0000
0202-03-26_03:05:39.320000      14040.66        9.15627100e-03       -2.09169950e-08  86.0610  84.8594  85.3785  0.0000
0202-03-26_03:05:40.215000      14041.56        9.16250600e-03        1.11557300e-08  86.0795  84.8677  85.3986  0.0000
0202-03-26_03:05:41.113000      14042.45        9.10581000e-03       -2.11958900e-08  86.0795  84.8677  85.3986  0.0000
0202-03-26_03:05:41.980000      14043.32        9.32317300e-03        1.22712850e-08  86.0567  84.8764  85.3886  0.0000
0202-03-26_03:05:42.850000      14044.19        9.00822300e-03       -5.39193650e-08  86.0253  84.8862  85.3685  0.0000
0202-03-26_03:05:43.723000      14045.06        9.06076300e-03        2.80132800e-08  86.0115  84.8946  85.3635  0.0000
0202-03-26_03:05:44.590000      14045.93        9.31693800e-03        3.52954900e-08  86.0678  84.9027  85.3824  0.0000
0202-03-26_03:05:45.457000      14046.80        9.14120500e-03       -1.86238750e-08  86.1046  84.9139  85.4072  0.0000
0202-03-26_03:05:46.330000      14047.67        9.16435800e-03       -4.92711500e-09  86.0988  84.9225  85.4303  0.0000
0202-03-26_03:05:47.203000      14048.54        9.31159100e-03        4.72569100e-08  86.0991  84.9320  85.4638  0.0000
0202-03-26_03:05:48.074000      14049.42        9.08183500e-03        3.89823450e-08  86.0991  84.9320  85.4638  0.0000
0202-03-26_03:05:48.940000      14050.28        9.06409900e-03        3.96028250e-08  86.0966  84.9419  85.4501  0.0000
0202-03-26_03:05:49.810000      14051.15        9.18491600e-03       -1.31389650e-08  86.0688  84.9492  85.4264  0.0000
0202-03-26_03:05:50.680000      14052.02        9.06247100e-03        1.37277400e-08  86.0930  84.9591  85.4069  0.0000
0202-03-26_03:05:51.547000      14052.89        9.19953800e-03       -1.20853500e-09  86.1276  84.9678  85.4362  0.0000
0202-03-26_03:05:52.418000      14053.76        8.95761100e-03        2.48524750e-08  86.1629  84.9764  85.4816  0.0000
0202-03-26_03:05:53.297000      14054.64        8.93289900e-03       -2.33960300e-08  86.1550  84.9867  85.4800  0.0000
0202-03-26_03:05:54.164000      14055.51        8.96287800e-03        4.13398050e-08  86.1087  84.9962  85.4724  0.0000
0202-03-26_03:05:55.090000      14056.43        9.00028000e-03       -4.89303000e-08  86.1087  84.9962  85.4724  0.0000
0202-03-26_03:05:55.960000      14057.30        9.10840500e-03       -3.52025450e-08  86.1229  85.0055  85.4653  0.0000
0202-03-26_03:05:56.830000      14058.17        8.94194900e-03        3.11121100e-08  86.1630  85.0142  85.5120  0.0000
0202-03-26_03:05:57.727000      14059.07        9.04302400e-03       -1.09574120e-07  86.1759  85.0238  85.5103  0.0000
0202-03-26_03:05:58.625000      14059.96        9.00035200e-03       -3.50476050e-08  86.2149  85.0348  85.5280  0.0000
0202-03-26_03:05:59.492000      14060.83        8.78899800e-03        2.02353350e-08  86.2053  85.0441  85.5286  0.0000
0202-03-26_03:06:00.363000      14061.70        8.97244600e-03        3.56371000e-09  86.1687  85.0513  85.5001  0.0000
0202-03-26_03:06:01.270000      14062.61        9.00435800e-03        1.26431700e-08  86.1323  85.0598  85.4932  0.0000
0202-03-26_03:06:02.152000      14063.49        8.90818200e-03       -2.24664200e-08  86.1558  85.0670  85.5011  0.0000
0202-03-26_03:06:03.020000      14064.36        8.88673800e-03        5.28348200e-08  86.1558  85.0670  85.5011  0.0000
0202-03-26_03:06:03.890000      14065.23        9.10105800e-03        3.65970200e-08  86.2130  85.0783  85.5662  0.0000
0202-03-26_03:06:04.758000      14066.10        9.08829500e-03        1.13106800e-08  86.2283  85.0891  85.5634  0.0000
0202-03-26_03:06:05.652000      14066.99        9.00347200e-03        2.22493750e-08  86.2770  85.0993  85.5992  0.0000
0202-03-26_03:06:06.516000      14067.86        9.10803300e-03        4.03465850e-08  86.2550  85.1076  85.6042  0.0000
0202-03-26_03:06:07.387000      14068.73        9.02558300e-03        6.09847050e-08  86.2317  85.1160  85.5730  0.0000
0202-03-26_03:06:08.266000      14069.61        9.07597200e-03       -1.85928950e-08  86.1875  85.1231  85.5590  0.0000
0202-03-26_03:06:09.150000      14070.49        9.30068400e-03       -1.01021450e-08  86.1823  85.1331  85.5286  0.0000
0202-03-26_03:06:10.020000      14071.36        8.88169200e-03       -1.00711500e-08  86.1823  85.1331  85.5286  0.0000
0202-03-26_03:06:10.890000      14072.23        9.02417800e-03       -3.27854750e-08  86.2234  85.1416  85.5774  0.0000
0202-03-26_03:06:11.760000      14073.10        8.83138000e-03        3.61639700e-08  86.2759  85.1520  85.6152  0.0000
0202-03-26_03:06:12.660000      14074.00        8.83858000e-03        1.70434950e-08  86.3195  85.1609  85.6723  0.0000
0202-03-26_03:06:13.550000      14074.89        9.11034200e-03       -2.78273850e-08  86.3381  85.1722  85.6844  0.0000
0202-03-26_03:06:14.418000      14075.76        9.11642700e-03        3.39010700e-08  86.2850  85.1802  85.6481  0.0000
0202-03-26_03:06:15.293000      14076.63        9.21742600e-03       -4.74429000e-08  86.2813  85.1882  85.6254  0.0000
0202-03-26_03:06:16.160000      14077.50        9.19776000e-03       -2.32721250e-08  86.2300  85.1982  85.6016  0.0000
0202-03-26_03:06:17.066000      14078.41        9.21453200e-03        4.08112050e-08  86.2300  85.1982  85.6016  0.0000
0202-03-26_03:06:17.940000      14079.28        9.18633300e-03       -2.95317250e-08  86.2592  85.2058  85.5985  0.0000
0202-03-26_03:06:18.812000      14080.15        9.32933700e-03       -2.38609000e-09  86.2877  85.2169  85.6327  0.0000
0202-03-26_03:06:19.695000      14081.04        9.14959800e-03        1.41925800e-08  86.3210  85.2252  85.6710  0.0000
0202-03-26_03:06:20.582000      14081.93        8.86247500e-03        1.62378000e-08  86.4064  85.2361  85.7455  0.0000
0202-03-26_03:06:21.457000      14082.80        9.27167100e-03       -4.64512600e-08  86.3699  85.2458  85.7379  0.0000
0202-03-26_03:06:22.330000      14083.67        9.11820400e-03       -3.49546500e-08  86.3636  85.2557  85.7186  0.0000
0202-03-26_03:06:23.270000      14084.61        9.29527100e-03       -2.97798200e-08  86.3172  85.2603  85.6917  0.0000
