depth_A                  	phonons_eV-Aion          	ionizations_eV-Aion      	frenkelpairs_vac-Aion    	implantedIons_-cm        
2.8150100000e+03         	1.3312244000e-03         	6.0138744977e+00         	3.7308635000e-06         	2.8419600000e-01         
5.6300100000e+03         	2.1073755000e-03         	6.0246705478e+00         	1.3415121000e-05         	7.1048000000e-02         
8.4450100000e+03         	2.9451911500e-03         	6.0458114708e+00         	2.3594797500e-05         	7.1048000000e-02         
1.1260000000e+04         	2.6303533000e-03         	6.0748868090e+00         	2.0946402500e-05         	2.8419400000e-01         
1.4075000000e+04         	2.6259143500e-03         	6.0954554347e+00         	2.0151578500e-05         	2.1314200000e-01         
1.6890000000e+04         	3.6117759000e-03         	6.1244281629e+00         	2.9483804500e-05         	2.4867000000e-01         
1.9705000000e+04         	5.2279240000e-03         	6.1713886513e+00         	4.3371840000e-05         	4.6181400000e-01         
2.2520000000e+04         	1.6828455000e-03         	4.7728942807e+00         	1.0886675000e-05         	3.9076700000e-01         
2.5335000000e+04         	9.5291325000e-04         	4.6084552426e+00         	8.7444330000e-06         	4.2629200000e-01         
2.8150000000e+04         	1.2132616500e-03         	4.6169505724e+00         	1.5285797000e-05         	3.9077000000e-01         
3.0965000000e+04         	1.4912024000e-03         	4.6288075651e+00         	2.0648283000e-05         	4.6181600000e-01         
3.3780000000e+04         	2.0458503000e-03         	4.6454569835e+00         	3.1160140000e-05         	2.8419200000e-01         
3.6595000000e+04         	2.6437615000e-03         	4.6688632525e+00         	4.1440060000e-05         	2.1314400000e-01         
3.9410000000e+04         	3.5360942500e-03         	4.7012721924e+00         	5.5427270000e-05         	2.8419000000e-01         
4.2225000000e+04         	2.8238060500e-03         	5.0744646031e+00         	2.8509243500e-05         	4.9734000000e-01         
4.5040000000e+04         	1.5036804000e-03         	6.5311880080e+00         	4.8201340000e-06         	3.1971800000e-01         
4.7855000000e+04         	2.0887231500e-03         	6.5456978951e+00         	1.2421638500e-05         	7.1048400000e-01         
5.0670000000e+04         	2.6654258000e-03         	6.5699086908e+00         	2.0120434500e-05         	5.3286400000e-01         
5.3485000000e+04         	2.9543459000e-03         	6.6061533088e+00         	2.4032862000e-05         	4.6181400000e-01         
5.6300000000e+04         	2.8926126500e-03         	6.6433065281e+00         	2.2543457000e-05         	5.6838800000e-01         
5.9115000000e+04         	3.0788843500e-03         	6.6817820583e+00         	2.5664727000e-05         	4.6181000000e-01         
6.1930000000e+04         	2.9877741500e-03         	6.7206545990e+00         	2.3644057000e-05         	6.3943600000e-01         
6.4745000000e+04         	2.9762635000e-03         	6.7588932724e+00         	2.3482185500e-05         	8.1705900000e-01         
6.7560000000e+04         	3.0814886500e-03         	6.7958009884e+00         	2.5096590500e-05         	7.1048500000e-01         
