====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 2400 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     4.E+05 AAA ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =50000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
400001.E-02  532693.E-09  256845.E-09
800001.E-02  481562.E-09  959877.E-09
120000.E-01  461923.E-09  167696.E-08
160000.E-01  444723.E-09  133726.E-08
200000.E-01  424402.E-09  982779.E-09
240000.E-01  421088.E-09  141099.E-08
280000.E-01  424001.E-09  138091.E-08
320000.E-01  428038.E-09  124843.E-08
360000.E-01  431381.E-09  120759.E-08
400000.E-01  432934.E-09  118263.E-08
440000.E-01  435528.E-09  143673.E-08
480000.E-01  438995.E-09  119384.E-08
520000.E-01  445031.E-09  119645.E-08
560000.E-01  446715.E-09  114220.E-08
600000.E-01  452576.E-09  129023.E-08
640000.E-01  456000.E-09  109606.E-08
680000.E-01  465835.E-09  179268.E-08
720000.E-01  466199.E-09  123443.E-08
760000.E-01  472222.E-09  114855.E-08
800000.E-01  475600.E-09  134880.E-08
840000.E-01  475649.E-09  123281.E-08
880000.E-01  479649.E-09  142838.E-08
920000.E-01  488597.E-09  123158.E-08
960000.E-01  491319.E-09  153569.E-08
100000.E+00  495289.E-09  141578.E-08
104000.E+00  501729.E-09  129549.E-08
108000.E+00  509271.E-09  142242.E-08
112000.E+00  520074.E-09  137748.E-08
116000.E+00  516891.E-09  189388.E-08
120000.E+00  521691.E-09  137590.E-08
124000.E+00  526823.E-09  145325.E-08
128000.E+00  532690.E-09  142955.E-08
132000.E+00  535336.E-09  144560.E-08
136000.E+00  541853.E-09  162915.E-08
140000.E+00  552905.E-09  170079.E-08
144000.E+00  560521.E-09  156690.E-08
148000.E+00  566681.E-09  154734.E-08
152000.E+00  569241.E-09  152192.E-08
156000.E+00  575464.E-09  172382.E-08
160000.E+00  584344.E-09  200099.E-08
164000.E+00  592468.E-09  170028.E-08
168000.E+00  600871.E-09  166933.E-08
172000.E+00  609447.E-09  199383.E-08
176000.E+00  613591.E-09  183827.E-08
180000.E+00  624001.E-09  174801.E-08
184000.E+00  632857.E-09  152949.E-08
188000.E+00  647521.E-09  153336.E-08
192000.E+00  653119.E-09  204567.E-08
196000.E+00  662015.E-09  191916.E-08
200000.E+00  679201.E-09  202985.E-08
204000.E+00  687799.E-09  188274.E-08
208000.E+00  698815.E-09  223709.E-08
212000.E+00  713837.E-09  230372.E-08
216000.E+00  721366.E-09  277745.E-08
220000.E+00  737339.E-09  195282.E-08
224000.E+00  751110.E-09  214313.E-08
228000.E+00  772395.E-09  236036.E-08
232000.E+00  788973.E-09  240574.E-08
236000.E+00  806211.E-09  222730.E-08
240000.E+00  825718.E-09  197618.E-08
244000.E+00  841086.E-09  229893.E-08
248000.E+00  869815.E-09  258651.E-08
252000.E+00  885160.E-09  244929.E-08
256000.E+00  902904.E-09  245161.E-08
260000.E+00  935172.E-09  292990.E-08
264000.E+00  974600.E-09  292887.E-08
268000.E+00  100129.E-08  295933.E-08
272000.E+00  102712.E-08  285232.E-08
276000.E+00  106477.E-08  313347.E-08
280000.E+00  110417.E-08  320621.E-08
284000.E+00  116544.E-08  334485.E-08
288000.E+00  120236.E-08  346109.E-08
292000.E+00  126026.E-08  342368.E-08
296000.E+00  132108.E-08  363981.E-08
300000.E+00  140434.E-08  387395.E-08
304000.E+00  148964.E-08  391780.E-08
308000.E+00  161452.E-08  496555.E-08
312000.E+00  174582.E-08  476815.E-08
316000.E+00  190770.E-08  552895.E-08
320000.E+00  214591.E-08  628177.E-08
324000.E+00  247901.E-08  712737.E-08
328000.E+00  311134.E-08  842373.E-08
332000.E+00  417560.E-08  109013.E-07
336000.E+00  621029.E-08  155919.E-07
340000.E+00  888979.E-08  209424.E-07
344000.E+00  113615.E-07  249471.E-07
348000.E+00  117066.E-07  243905.E-07
352000.E+00  919519.E-08  186763.E-07
356000.E+00  532597.E-08  104813.E-07
360000.E+00  240601.E-08  468169.E-08
364000.E+00  815892.E-09  153593.E-08
368000.E+00  185965.E-09  338132.E-09
372000.E+00  316748.E-10  665025.E-10
376000.E+00  758654.E-11  139185.E-10
380000.E+00  000000.E+00  000000.E+00
384000.E+00  000000.E+00  000000.E+00
388000.E+00  000000.E+00  000000.E+00
392000.E+00  000000.E+00  000000.E+00
396000.E+00  000000.E+00  000000.E+00
400000.E+00  000000.E+00  000000.E+00
