# Ic =  nan A, n =  nan , Tavg = 22.14 K, ffj51-15e19pm2-03T-22k-setup
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-28_23:56:38.117000      149.98        7.24314400e-03        3.53624118e-09  22.1037  19.4079  19.6104  0.0000
0202-03-28_23:56:38.477000      150.34        3.09516300e-01       -2.53735882e-09  22.0920  19.4050  19.5826  0.0000
0202-03-28_23:56:38.836000      150.71        6.07186600e-01       -1.27633588e-08  22.0920  19.4050  19.5826  0.0000
0202-03-28_23:56:39.188000      151.06        9.05480700e-01       -2.09441588e-08  22.1028  19.4165  19.6121  0.0000
0202-03-28_23:56:39.535000      151.40        1.20370900e+00       -1.36933588e-08  22.1028  19.4165  19.6121  0.0000
0202-03-28_23:56:39.890000      151.76        1.50191600e+00        5.89084118e-09  22.1028  19.4165  19.6121  0.0000
0202-03-28_23:56:40.242000      152.11        1.80008600e+00        1.61787412e-08  22.1020  19.4025  19.5962  0.0000
0202-03-28_23:56:40.594000      152.46        2.09802600e+00        1.26461412e-08  22.1020  19.4025  19.5962  0.0000
0202-03-28_23:56:40.940000      152.81        2.39632200e+00        1.53110412e-08  22.1020  19.4025  19.5962  0.0000
0202-03-28_23:56:41.310000      153.18        2.69497100e+00        9.54734118e-09  22.0974  19.4148  19.5953  0.0000
0202-03-28_23:56:41.660000      153.53        2.99279800e+00        1.48152412e-08  22.0974  19.4148  19.5953  0.0000
0202-03-28_23:56:42.043000      153.91        3.29129300e+00        8.74164118e-09  22.0974  19.4148  19.5953  0.0000
0202-03-28_23:56:42.418000      154.29        3.58944700e+00        1.33898412e-08  22.1098  19.4097  19.6132  0.0000
0202-03-28_23:56:42.766000      154.63        3.88750500e+00        1.26461412e-08  22.1098  19.4097  19.6132  0.0000
0202-03-28_23:56:43.125000      154.99        4.18594200e+00        1.07868412e-08  22.1098  19.4097  19.6132  0.0000
0202-03-28_23:56:43.490000      155.36        4.48369600e+00        2.10128412e-08  22.0960  19.4068  19.5811  0.0000
0202-03-28_23:56:43.850000      155.72        4.78214100e+00        2.93795412e-08  22.0960  19.4068  19.5811  0.0000
0202-03-28_23:56:44.210000      156.08        5.08003000e+00        2.52891412e-08  22.1086  19.4174  19.6133  0.0000
0202-03-28_23:56:44.560000      156.43        5.37820400e+00        3.76222412e-08  22.1086  19.4174  19.6133  0.0000
0202-03-28_23:56:44.914000      156.78        5.67611400e+00        4.06591412e-08  22.1086  19.4174  19.6133  0.0000
0202-03-28_23:56:45.266000      157.14        5.97439100e+00        3.25333412e-08  22.1054  19.4022  19.5957  0.0000
0202-03-28_23:56:45.613000      157.48        6.27245600e+00        2.89961412e-08  22.1054  19.4022  19.5957  0.0000
0202-03-28_23:56:45.960000      157.83        6.57085600e+00        2.14350412e-08  22.1054  19.4022  19.5957  0.0000
0202-03-28_23:56:46.312000      158.18        6.86875300e+00        2.41620412e-08  22.1020  19.4147  19.5961  0.0000
0202-03-28_23:56:46.660000      158.53        7.16703400e+00        3.80445412e-08  22.1020  19.4147  19.5961  0.0000
0202-03-28_23:56:47.110000      158.98        7.46520200e+00        3.95939412e-08  22.1020  19.4147  19.5961  0.0000
0202-03-28_23:56:47.465000      159.33        7.76331300e+00        5.29187412e-08  22.1149  19.4085  19.6146  0.0000
0202-03-28_23:56:47.812000      159.68        8.06104800e+00        6.32686412e-08  22.1149  19.4085  19.6146  0.0000
0202-03-28_23:56:48.160000      160.03        8.35971000e+00        7.02099412e-08  22.0958  19.4060  19.5776  0.0000
0202-03-28_23:56:48.516000      160.38        8.65712700e+00        6.40743412e-08  22.0958  19.4060  19.5776  0.0000
0202-03-28_23:56:48.863000      160.73        8.95563300e+00        6.32686412e-08  22.0958  19.4060  19.5776  0.0000
0202-03-28_23:56:49.210000      161.08        9.25337500e+00        6.38264412e-08  22.1121  19.4158  19.6141  0.0000
0202-03-28_23:56:49.560000      161.43        9.55169600e+00        6.25869412e-08  22.1121  19.4158  19.6141  0.0000
0202-03-28_23:56:49.914000      161.78        9.84992800e+00        6.53758412e-08  22.1121  19.4158  19.6141  0.0000
0202-03-28_23:56:50.266000      162.14        1.01478800e+01        5.95501412e-08  22.1053  19.4006  19.5888  0.0000
0202-03-28_23:56:50.613000      162.48        1.04464000e+01        6.30827412e-08  22.1053  19.4006  19.5888  0.0000
0202-03-28_23:56:50.960000      162.83        1.07444300e+01        6.12866412e-08  22.1053  19.4006  19.5888  0.0000
0202-03-28_23:56:51.312000      163.18        1.10424000e+01        6.51316412e-08  22.1017  19.4130  19.5910  0.0000
0202-03-28_23:56:51.660000      163.53        1.13404000e+01        7.31268412e-08  22.1017  19.4130  19.5910  0.0000
0202-03-28_23:56:52.043000      163.91        1.16386500e+01        7.72792412e-08  22.1017  19.4130  19.5910  0.0000
0202-03-28_23:56:52.430000      164.30        1.19370600e+01        7.88906412e-08  22.1161  19.4064  19.6124  0.0000
0202-03-28_23:56:52.777000      164.65        1.22351600e+01        7.72792412e-08  22.1161  19.4064  19.6124  0.0000
0202-03-28_23:56:53.152000      165.02        1.25331600e+01        8.31669412e-08  22.0980  19.4039  19.5764  0.0000
0202-03-28_23:56:53.510000      165.38        1.28315100e+01        9.33929412e-08  22.0980  19.4039  19.5764  0.0000
0202-03-28_23:56:53.867000      165.74        1.31293800e+01        8.84968412e-08  22.0980  19.4039  19.5764  0.0000
0202-03-28_23:56:54.220000      166.09        1.34277100e+01        9.11617412e-08  22.1176  19.4137  19.6168  0.0000
0202-03-28_23:56:54.566000      166.43        1.37259000e+01        7.93864412e-08  22.1176  19.4137  19.6168  0.0000
0202-03-28_23:56:54.914000      166.78        1.40241000e+01        7.38086412e-08  22.1176  19.4137  19.6168  0.0000
0202-03-28_23:56:55.270000      167.14        1.43225200e+01        7.22592412e-08  22.1066  19.3990  19.5872  0.0000
0202-03-28_23:56:55.620000      167.49        1.46206500e+01        8.21753412e-08  22.1066  19.3990  19.5872  0.0000
0202-03-28_23:56:55.970000      167.84        1.49189900e+01        7.98202412e-08  22.1066  19.3990  19.5872  0.0000
0202-03-28_23:56:56.316000      168.18        1.52168900e+01        8.13696412e-08  22.1080  19.4120  19.5977  0.0000
0202-03-28_23:56:56.664000      168.53        1.55144900e+01        8.34148412e-08  22.1080  19.4120  19.5977  0.0000
0202-03-28_23:56:57.098000      168.97        1.58132400e+01        8.92987412e-08  22.1080  19.4120  19.5977  0.0000
