depth_A                  	phonons_eV-Aion          	ionizations_eV-Aion      	frenkelpairs_vac-Aion    	implantedIons_-cm        
1.2150100000e+03         	4.4480410000e-01         	4.1272833900e+02         	6.3327180000e-03         	0.0000000000e+00         
2.4300100000e+03         	5.1654410000e-01         	4.1181473000e+02         	7.5220800000e-03         	8.2305000000e+00         
3.6450100000e+03         	5.4327850000e-01         	4.1024160500e+02         	7.9185500000e-03         	4.1152000000e+00         
4.8600100000e+03         	5.3663850000e-01         	4.0818109700e+02         	7.7555600000e-03         	8.2305000000e+00         
6.0750100000e+03         	6.1890450000e-01         	4.0493281100e+02         	9.1181900000e-03         	8.2305000000e+00         
7.2900100000e+03         	5.8458200000e-01         	4.0065221900e+02         	8.4524900000e-03         	1.2346000000e+01         
8.5050100000e+03         	6.2245480000e-01         	3.9551173500e+02         	9.0365400000e-03         	1.2346000000e+01         
9.7200100000e+03         	7.2007620000e-01         	3.8937849300e+02         	1.0616250000e-02         	2.0576000000e+01         
1.0935000000e+04         	8.5296320000e-01         	3.8181729300e+02         	1.2787190000e-02         	2.8807000000e+01         
1.2150000000e+04         	8.1569900000e-01         	3.7212046200e+02         	1.2033630000e-02         	3.2922000000e+01         
1.3365000000e+04         	1.0421689000e+00         	3.6057831900e+02         	1.5797990000e-02         	2.8807000000e+01         
1.4580000000e+04         	1.0167341000e+00         	3.4682176800e+02         	1.5205420000e-02         	5.3498000000e+01         
1.5795000000e+04         	1.2010391000e+00         	3.3062334600e+02         	1.8201060000e-02         	4.1152000000e+01         
1.7010000000e+04         	1.3243998000e+00         	3.1205616100e+02         	2.0092990000e-02         	5.7613000000e+01         
1.8225000000e+04         	1.4664410000e+00         	2.9057975000e+02         	2.2283420000e-02         	9.8765000000e+01         
1.9440000000e+04         	1.6756800000e+00         	2.6699220600e+02         	2.5614830000e-02         	1.2346000000e+02         
2.0655000000e+04         	1.5900690000e+00         	2.2020454200e+02         	3.1695970000e-02         	1.6461000000e+02         
2.1870000000e+04         	1.5153442000e+00         	1.8101014000e+02         	4.0041420000e-02         	3.0041000000e+02         
2.3085000000e+04         	1.6864720000e+00         	1.6149687000e+02         	4.4160240000e-02         	3.3333000000e+02         
2.4300000000e+04         	2.0994980000e+00         	1.4229865000e+02         	5.4840170000e-02         	5.4321000000e+02         
2.5515000000e+04         	2.4190260000e+00         	1.2462582000e+02         	6.3975470000e-02         	8.4774000000e+02         
2.6730000000e+04         	3.1639910000e+00         	1.0824876000e+02         	8.4728320000e-02         	1.4938000000e+03         
2.7945000000e+04         	3.9329760000e+00         	9.2935860000e+01         	1.0664850000e-01         	2.5761000000e+03         
2.9160000000e+04         	5.1365860000e+00         	7.8741960000e+01         	1.4073590000e-01         	5.0494000000e+03         
3.0375000000e+04         	6.4047150000e+00         	6.3659260000e+01         	1.7801930000e-01         	9.3086000000e+03         
3.1590000000e+04         	7.3814720000e+00         	4.6500540000e+01         	2.0801930000e-01         	1.6675000000e+04         
3.2805000000e+04         	6.3777820000e+00         	2.6067770000e+01         	1.8200340000e-01         	2.1992000000e+04         
3.4020000000e+04         	3.0092590000e+00         	8.4085800000e+00         	8.6312700000e-02         	1.7428000000e+04         
3.5235000000e+04         	5.2914800000e-01         	1.0901620000e+00         	1.5234640000e-02         	4.7531000000e+03         
3.6450000000e+04         	2.0525660000e-02         	3.4419430000e-02         	5.8260200000e-04         	2.8807000000e+02         
3.7665000000e+04         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         
3.8880000000e+04         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         
4.0095000000e+04         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         
4.1310000000e+04         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         
4.2525000000e+04         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         
4.3740000000e+04         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         
4.4955000000e+04         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         
4.6170000000e+04         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         
4.7385000000e+04         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         
4.8600000000e+04         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         
4.9815000000e+04         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         
5.1030000000e+04         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         
5.2245000000e+04         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         
5.3460000000e+04         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         
5.4675000000e+04         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         	0.0000000000e+00         
