====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 2400 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     4.E+05 AAA ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =50000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
400001.E-02  520978.E-09  205288.E-09
800001.E-02  479696.E-09  707363.E-09
120000.E-01  462806.E-09  145780.E-08
160000.E-01  448615.E-09  863777.E-09
200000.E-01  428239.E-09  829676.E-09
240000.E-01  424585.E-09  114128.E-08
280000.E-01  427491.E-09  116993.E-08
320000.E-01  430155.E-09  110498.E-08
360000.E-01  434666.E-09  109650.E-08
400000.E-01  435928.E-09  100298.E-08
440000.E-01  437679.E-09  116395.E-08
480000.E-01  441964.E-09  134144.E-08
520000.E-01  444894.E-09  119542.E-08
560000.E-01  449283.E-09  126605.E-08
600000.E-01  451197.E-09  114378.E-08
640000.E-01  456535.E-09  159602.E-08
680000.E-01  462191.E-09  120466.E-08
720000.E-01  467756.E-09  114974.E-08
760000.E-01  468316.E-09  124436.E-08
800000.E-01  475474.E-09  120670.E-08
840000.E-01  479658.E-09  159257.E-08
880000.E-01  481653.E-09  142373.E-08
920000.E-01  486970.E-09  141113.E-08
960000.E-01  496851.E-09  133742.E-08
100000.E+00  501719.E-09  138198.E-08
104000.E+00  500091.E-09  144293.E-08
108000.E+00  499624.E-09  145593.E-08
112000.E+00  503293.E-09  180177.E-08
116000.E+00  513581.E-09  147569.E-08
120000.E+00  524479.E-09  139087.E-08
124000.E+00  530910.E-09  142439.E-08
128000.E+00  532880.E-09  123153.E-08
132000.E+00  535881.E-09  150617.E-08
136000.E+00  540105.E-09  174988.E-08
140000.E+00  547573.E-09  135221.E-08
144000.E+00  553856.E-09  151241.E-08
148000.E+00  562699.E-09  140143.E-08
152000.E+00  570949.E-09  164397.E-08
156000.E+00  578092.E-09  165880.E-08
160000.E+00  585456.E-09  188783.E-08
164000.E+00  597987.E-09  163562.E-08
168000.E+00  602886.E-09  151747.E-08
172000.E+00  611181.E-09  158408.E-08
176000.E+00  620079.E-09  185041.E-08
180000.E+00  628860.E-09  182100.E-08
184000.E+00  638126.E-09  163412.E-08
188000.E+00  650601.E-09  164213.E-08
192000.E+00  658112.E-09  214307.E-08
196000.E+00  677003.E-09  201260.E-08
200000.E+00  677193.E-09  168625.E-08
204000.E+00  686404.E-09  208969.E-08
208000.E+00  701449.E-09  172276.E-08
212000.E+00  717838.E-09  179595.E-08
216000.E+00  733499.E-09  208148.E-08
220000.E+00  741927.E-09  227243.E-08
224000.E+00  760896.E-09  188549.E-08
228000.E+00  776187.E-09  218753.E-08
232000.E+00  788785.E-09  202959.E-08
236000.E+00  812013.E-09  200291.E-08
240000.E+00  830413.E-09  220725.E-08
244000.E+00  840767.E-09  224833.E-08
248000.E+00  851289.E-09  244487.E-08
252000.E+00  878514.E-09  253369.E-08
256000.E+00  903534.E-09  286200.E-08
260000.E+00  928941.E-09  282860.E-08
264000.E+00  969808.E-09  261625.E-08
268000.E+00  100445.E-08  304426.E-08
272000.E+00  102474.E-08  293011.E-08
276000.E+00  105743.E-08  313215.E-08
280000.E+00  110523.E-08  312761.E-08
284000.E+00  114326.E-08  315775.E-08
288000.E+00  120238.E-08  352751.E-08
292000.E+00  126205.E-08  341546.E-08
296000.E+00  131988.E-08  374902.E-08
300000.E+00  140705.E-08  362615.E-08
304000.E+00  149845.E-08  469076.E-08
308000.E+00  162013.E-08  438616.E-08
312000.E+00  175603.E-08  463249.E-08
316000.E+00  189904.E-08  556116.E-08
320000.E+00  215985.E-08  595730.E-08
324000.E+00  249651.E-08  714132.E-08
328000.E+00  314202.E-08  849440.E-08
332000.E+00  418762.E-08  111094.E-07
336000.E+00  628958.E-08  153657.E-07
340000.E+00  897739.E-08  211345.E-07
344000.E+00  113503.E-07  247622.E-07
348000.E+00  115680.E-07  243769.E-07
352000.E+00  912348.E-08  185675.E-07
356000.E+00  537112.E-08  106337.E-07
360000.E+00  236761.E-08  462923.E-08
364000.E+00  768730.E-09  139496.E-08
368000.E+00  182988.E-09  345321.E-09
372000.E+00  367121.E-10  590873.E-10
376000.E+00  401596.E-11  832735.E-11
380000.E+00  112432.E-11  267199.E-11
384000.E+00  000000.E+00  000000.E+00
388000.E+00  000000.E+00  000000.E+00
392000.E+00  000000.E+00  000000.E+00
396000.E+00  000000.E+00  000000.E+00
400000.E+00  000000.E+00  000000.E+00
