                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1126000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1154150.E-01 41002374.E-03 44339297.E-03 61426385.E-03 23542956.E-03 
1182300.E-01 19573217.E-02 19573217.E-02 20547304.E-02 00000000.E+00 
1210450.E-01 17478992.E-02 17478992.E-02 18159791.E-02 00000000.E+00 
1238600.E-01 89992946.E-03 10166485.E-02 12951152.E-02 41090787.E-03 
1266750.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1294900.E-01 99056067.E-03 12575566.E-02 14826910.E-02 72954957.E-03 
1323050.E-01 63479391.E-03 63479391.E-03 95364244.E-03 00000000.E+00 
1351200.E-01 11718473.E-02 12622710.E-02 16270686.E-02 58248103.E-03 
1379350.E-01 11159867.E-02 12806212.E-02 12604647.E-02 42063936.E-03 
1407500.E-01 24243118.E-03 29846916.E-03 10954808.E-02 69601699.E-03 
1435650.E-01 86095317.E-03 88203581.E-03 14167628.E-02 26944835.E-03 
1463800.E-01 39499368.E-03 39499368.E-03 14963048.E-02 00000000.E+00 
1491950.E-01 20086810.E-02 20086810.E-02 20114327.E-02 00000000.E+00 
1520100.E-01 15741057.E-02 15756233.E-02 15797538.E-02 74783774.E-04 
1548250.E-01 69932058.E-03 83704483.E-03 12870485.E-02 41373312.E-03 
1576400.E-01 71057612.E-03 90419611.E-03 13668199.E-02 44807859.E-03 
1604550.E-01 74911505.E-03 88645043.E-03 13970466.E-02 33674985.E-03 
1632700.E-01 54732099.E-03 73925861.E-03 10588578.E-02 63756802.E-03 
1660850.E-01 96087283.E-03 10704204.E-02 12484867.E-02 29186284.E-03 
1689000.E-01 59776575.E-03 77222442.E-03 15335140.E-02 40153032.E-03 
1717150.E-01 83883456.E-03 11139728.E-02 12966822.E-02 66776974.E-03 
1745300.E-01 82266997.E-03 91804894.E-03 12204536.E-02 39725337.E-03 
1773450.E-01 69540983.E-03 87647889.E-03 12191631.E-02 42457782.E-03 
1801600.E-01 71180736.E-03 80918862.E-03 11517119.E-02 36862250.E-03 
1829750.E-01 78324954.E-03 94678429.E-03 12436985.E-02 44886114.E-03 
1857900.E-01 66587053.E-03 80265762.E-03 10094488.E-02 51291554.E-03 
1886050.E-01 52577227.E-03 69093232.E-03 11237357.E-02 46211342.E-03 
1914200.E-01 87716419.E-03 10421039.E-02 11613506.E-02 43108682.E-03 
1942350.E-01 59633467.E-03 72838233.E-03 10763418.E-02 43222917.E-03 
1970500.E-01 79353482.E-03 86309887.E-03 11885999.E-02 35355060.E-03 
1998650.E-01 65207400.E-03 70360975.E-03 11412610.E-02 24574785.E-03 
2026800.E-01 82100644.E-03 94550703.E-03 11499709.E-02 39761054.E-03 
2054950.E-01 82185149.E-03 93967851.E-03 10542195.E-02 46311785.E-03 
2083100.E-01 57448102.E-03 68654497.E-03 10499840.E-02 36822272.E-03 
2111250.E-01 43415250.E-03 52592031.E-03 86126469.E-03 36029629.E-03 
2139400.E-01 67749345.E-03 81063599.E-03 91890314.E-03 34731483.E-03 
2167550.E-01 60140259.E-03 70597516.E-03 85759419.E-03 39050734.E-03 
2195700.E-01 58677983.E-03 68485201.E-03 94829105.E-03 31630006.E-03 
2223850.E-01 54999984.E-03 65206115.E-03 86130118.E-03 24069820.E-03 
2252000.E-01 59867067.E-03 69834845.E-03 86355801.E-03 32059553.E-03 
2280150.E-01 53774033.E-03 62758179.E-03 82797580.E-03 29878176.E-03 
2308300.E-01 47399222.E-03 57849811.E-03 77689180.E-03 29253373.E-03 
2336450.E-01 44975050.E-03 53132077.E-03 70848649.E-03 28309068.E-03 
2364600.E-01 38796866.E-03 47187892.E-03 66052223.E-03 27641195.E-03 
2392750.E-01 40233051.E-03 48026277.E-03 64729363.E-03 24345716.E-03 
2420900.E-01 36355107.E-03 43587126.E-03 59806483.E-03 25661515.E-03 
2449050.E-01 33233461.E-03 40632179.E-03 51705499.E-03 23818944.E-03 
2477200.E-01 27619696.E-03 33734185.E-03 43376754.E-03 19993011.E-03 
2505350.E-01 23426943.E-03 29363870.E-03 36850689.E-03 18452071.E-03 
2533500.E-01 18931271.E-03 23864567.E-03 29576840.E-03 15832914.E-03 
2561650.E-01 16130800.E-03 20444223.E-03 25472471.E-03 13874701.E-03 
2589800.E-01 14570300.E-03 18555534.E-03 22890533.E-03 12685225.E-03 
2617950.E-01 13317250.E-03 16881229.E-03 20853092.E-03 11434869.E-03 
2646100.E-01 12166866.E-03 15481427.E-03 19220452.E-03 10616867.E-03 
2674250.E-01 11489630.E-03 14449687.E-03 18072649.E-03 97858800.E-04 
2702400.E-01 10634788.E-03 13485927.E-03 16848672.E-03 90545668.E-04 
2730550.E-01 10619808.E-03 13444242.E-03 16680406.E-03 89195498.E-04 
2758700.E-01 98521680.E-04 12678415.E-03 15548352.E-03 86109301.E-04 
2786850.E-01 98502823.E-04 12320318.E-03 15686510.E-03 89023869.E-04 
2815000.E-01 88650086.E-04 11311159.E-03 14100944.E-03 57741475.E-04 
