depth_A                  	phonons_eV-Aion          	ionizations_eV-Aion      	frenkelpairs_vac-Aion    	implantedIons_-cm        
1.2150100000e+03         	1.1814270000e-02         	3.9477336150e+01         	7.0490000000e-05         	0.0000000000e+00         
2.4300100000e+03         	2.0690630000e-02         	3.9640030660e+01         	2.0333200000e-04         	0.0000000000e+00         
3.6450100000e+03         	2.2729120000e-02         	3.9919711500e+01         	2.4413540000e-04         	0.0000000000e+00         
4.8600100000e+03         	2.1422010000e-02         	4.0148051360e+01         	2.1971550000e-04         	0.0000000000e+00         
6.0750100000e+03         	2.3488670000e-02         	4.0414765380e+01         	2.5534640000e-04         	0.0000000000e+00         
7.2900100000e+03         	2.3977480000e-02         	4.0721379190e+01         	2.6191340000e-04         	0.0000000000e+00         
8.5050100000e+03         	2.1770290000e-02         	4.0988537640e+01         	2.2055520000e-04         	8.2305000000e+00         
9.7200100000e+03         	2.7566960000e-02         	4.1268452700e+01         	3.1941670000e-04         	0.0000000000e+00         
1.0935000000e+04         	2.1637870000e-02         	4.1546392170e+01         	2.1750230000e-04         	0.0000000000e+00         
1.2150000000e+04         	2.0051180000e-02         	4.1828236100e+01         	1.8833160000e-04         	0.0000000000e+00         
1.3365000000e+04         	2.7983500000e-02         	4.2084634500e+01         	3.1888980000e-04         	4.1152000000e+00         
1.4580000000e+04         	2.6469030000e-02         	4.2355267960e+01         	2.9395980000e-04         	0.0000000000e+00         
1.5795000000e+04         	2.7603060000e-02         	4.2679310880e+01         	3.1155820000e-04         	0.0000000000e+00         
1.7010000000e+04         	3.5624620000e-02         	4.3017871900e+01         	4.4498460000e-04         	4.1152000000e+00         
1.8225000000e+04         	2.4120650000e-02         	4.3356014940e+01         	2.4659950000e-04         	0.0000000000e+00         
1.9440000000e+04         	2.6934270000e-02         	4.3706489180e+01         	2.8158860000e-04         	0.0000000000e+00         
2.0655000000e+04         	3.0251660000e-02         	3.8461344770e+01         	3.3213200000e-04         	0.0000000000e+00         
2.1870000000e+04         	1.6778220000e-02         	3.3796563500e+01         	3.7586480000e-04         	0.0000000000e+00         
