# Ic =  nan A, n =  nan , Tavg = 20.44 K, ffj51-ffj51-0e19pm2-0nA-450um-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-07_18:32:38.457000      11222.51        1.34240000e+01        2.90528431e-08  20.1781  19.1864  19.4568  0.0000
0202-03-07_18:32:38.812000      11222.87        1.37219800e+01        1.52939331e-08  20.1781  19.1864  19.4568  0.0000
0202-03-07_18:32:39.215000      11223.27        1.40202500e+01        1.52939331e-08  20.1605  19.1763  19.4153  0.0000
0202-03-07_18:32:39.562000      11223.62        1.43186000e+01        2.01901231e-08  20.1605  19.1763  19.4153  0.0000
0202-03-07_18:32:39.934000      11223.99        1.46169000e+01        2.49003831e-08  20.1605  19.1763  19.4153  0.0000
0202-03-07_18:32:40.293000      11224.35        1.49148200e+01        2.49003831e-08  20.1806  19.1892  19.4408  0.0000
0202-03-07_18:32:40.640000      11224.70        1.52126600e+01        2.86190031e-08  20.1806  19.1892  19.4408  0.0000
0202-03-07_18:32:40.990000      11225.04        1.55108200e+01        3.97748831e-08  20.1895  19.1820  19.4433  0.0000
0202-03-07_18:32:41.344000      11225.40        1.58088900e+01        3.57463731e-08  20.1895  19.1820  19.4433  0.0000
0202-03-07_18:32:41.690000      11225.74        1.61072500e+01        5.09927331e-08  20.1895  19.1820  19.4433  0.0000
0202-03-07_18:32:42.043000      11226.10        1.64051200e+01        5.77482431e-08  20.1880  19.1843  19.4242  0.0000
0202-03-07_18:32:42.395000      11226.45        1.67027200e+01        5.71904431e-08  20.1880  19.1843  19.4242  0.0000
0202-03-07_18:32:42.742000      11226.80        1.70011500e+01        6.66729431e-08  20.1880  19.1843  19.4242  0.0000
0202-03-07_18:32:43.090000      11227.14        1.72986700e+01        7.24987931e-08  20.2138  19.1901  19.4575  0.0000
0202-03-07_18:32:43.440000      11227.50        1.75977500e+01        7.56596231e-08  20.2138  19.1901  19.4575  0.0000
0202-03-07_18:32:43.790000      11227.84        1.78952600e+01        8.19821231e-08  20.2138  19.1901  19.4575  0.0000
0202-03-07_18:32:44.145000      11228.20        1.81933800e+01        6.99610931e-08  20.2039  19.1773  19.4230  0.0000
0202-03-07_18:32:44.504000      11228.56        1.84914100e+01        7.32467231e-08  20.2039  19.1773  19.4230  0.0000
0202-03-07_18:32:44.902000      11228.95        1.87893900e+01        8.76873931e-08  20.2039  19.1773  19.4230  0.0000
0202-03-07_18:32:45.254000      11229.31        1.90877100e+01        9.49387131e-08  20.2182  19.1921  19.4398  0.0000
0202-03-07_18:32:45.613000      11229.67        1.93850700e+01        8.99185731e-08  20.2182  19.1921  19.4398  0.0000
0202-03-07_18:32:45.973000      11230.03        1.96836600e+01        9.66121031e-08  20.2376  19.1842  19.4482  0.0000
0202-03-07_18:32:46.320000      11230.38        1.99812300e+01        9.03524131e-08  20.2376  19.1842  19.4482  0.0000
0202-03-07_18:32:46.680000      11230.73        2.02795100e+01        1.14957323e-07  20.2376  19.1842  19.4482  0.0000
0202-03-07_18:32:47.027000      11231.08        2.05776000e+01        1.10866833e-07  20.2316  19.1856  19.4233  0.0000
0202-03-07_18:32:47.375000      11231.43        2.08755000e+01        1.23262263e-07  20.2316  19.1856  19.4233  0.0000
0202-03-07_18:32:47.723000      11231.78        2.11735600e+01        1.35285823e-07  20.2316  19.1856  19.4233  0.0000
0202-03-07_18:32:48.070000      11232.12        2.14723700e+01        1.37083163e-07  20.2681  19.1912  19.4598  0.0000
0202-03-07_18:32:48.430000      11232.48        2.17704000e+01        1.32372903e-07  20.2681  19.1912  19.4598  0.0000
0202-03-07_18:32:48.777000      11232.83        2.20680500e+01        1.33922323e-07  20.2681  19.1912  19.4598  0.0000
0202-03-07_18:32:49.130000      11233.18        2.23660900e+01        1.51089993e-07  20.2606  19.1808  19.4229  0.0000
0202-03-07_18:32:49.477000      11233.53        2.26641400e+01        1.42103313e-07  20.2606  19.1808  19.4229  0.0000
0202-03-07_18:32:49.832000      11233.89        2.29622400e+01        1.51025903e-07  20.2606  19.1808  19.4229  0.0000
0202-03-07_18:32:50.184000      11234.24        2.32599600e+01        1.56601733e-07  20.2862  19.1941  19.4454  0.0000
0202-03-07_18:32:50.535000      11234.59        2.35585200e+01        1.51953453e-07  20.2862  19.1941  19.4454  0.0000
0202-03-07_18:32:50.887000      11234.94        2.38566600e+01        1.73025663e-07  20.2862  19.1941  19.4454  0.0000
0202-03-07_18:32:51.240000      11235.29        2.41551100e+01        1.73955323e-07  20.2991  19.1878  19.4489  0.0000
0202-03-07_18:32:51.586000      11235.64        2.44529800e+01        1.37946623e-07  20.2991  19.1878  19.4489  0.0000
0202-03-07_18:32:51.950000      11236.00        2.47507200e+01        1.45012013e-07  20.2991  19.1878  19.4489  0.0000
0202-03-07_18:32:52.305000      11236.36        2.50489100e+01        1.46003653e-07  20.3043  19.1894  19.4269  0.0000
0202-03-07_18:32:52.664000      11236.72        2.53469600e+01        1.16874413e-07  20.3043  19.1894  19.4269  0.0000
0202-03-07_18:32:53.010000      11237.07        2.56459000e+01        6.90281031e-08  20.3433  19.1982  19.4672  0.0000
0202-03-07_18:32:53.360000      11237.41        2.59427500e+01        3.74817531e-08  20.3433  19.1982  19.4672  0.0000
0202-03-07_18:32:53.720000      11237.77        2.62415200e+01       -3.28002669e-08  20.3433  19.1982  19.4672  0.0000
0202-03-07_18:32:54.066000      11238.12        2.65394500e+01       -1.34008867e-07  20.3418  19.1867  19.4355  0.0000
0202-03-07_18:32:54.414000      11238.47        2.68372500e+01       -2.53810587e-07  20.3418  19.1867  19.4355  0.0000
0202-03-07_18:32:54.760000      11238.82        2.71356200e+01       -4.38378377e-07  20.3418  19.1867  19.4355  0.0000
0202-03-07_18:32:55.113000      11239.17        2.74316900e+01       -6.86224777e-07  20.3699  19.2029  19.4552  0.0000
0202-03-07_18:32:55.473000      11239.53        2.77324300e+01       -1.00708054e-06  20.3699  19.2029  19.4552  0.0000
0202-03-07_18:32:55.870000      11239.93        2.80303000e+01       -1.47197258e-06  20.3699  19.2029  19.4552  0.0000
0202-03-07_18:32:56.230000      11240.28        2.83286800e+01       -2.06565190e-06  20.3872  19.1956  19.4606  0.0000
0202-03-07_18:32:56.580000      11240.63        2.86265400e+01       -3.31783657e-06  20.3872  19.1956  19.4606  0.0000
0202-03-07_18:32:56.938000      11240.99        2.89239500e+01       -4.53103766e-06  20.3938  19.1994  19.4379  0.0000
0202-03-07_18:32:57.297000      11241.35        2.92216900e+01       -5.83255608e-06  20.3938  19.1994  19.4379  0.0000
0202-03-07_18:32:57.650000      11241.70        2.95210900e+01       -8.50668060e-06  20.3938  19.1994  19.4379  0.0000
0202-03-07_18:32:57.996000      11242.05        2.98183700e+01       -1.18017108e-05  20.4398  19.2064  19.4829  0.0000
0202-03-07_18:32:58.344000      11242.40        3.01177800e+01       -1.65531492e-05  20.4398  19.2064  19.4829  0.0000
0202-03-07_18:32:58.690000      11242.74        3.04150800e+01       -2.33964499e-05  20.4398  19.2064  19.4829  0.0000
