====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 1200 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+05 AAA ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =50000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
140001.E-02  988331.E-09  249743.E-09
280001.E-02  929478.E-09  944474.E-09
420001.E-02  894868.E-09  136116.E-08
560001.E-02  868479.E-09  203576.E-08
700001.E-02  860623.E-09  288580.E-08
840001.E-02  842952.E-09  144480.E-08
980001.E-02  811230.E-09  148131.E-08
112000.E-01  800702.E-09  186427.E-08
126000.E-01  798717.E-09  197567.E-08
140000.E-01  809193.E-09  199462.E-08
154000.E-01  821155.E-09  222480.E-08
168000.E-01  828699.E-09  231935.E-08
182000.E-01  837324.E-09  226217.E-08
196000.E-01  842566.E-09  226647.E-08
210000.E-01  847137.E-09  228337.E-08
224000.E-01  851163.E-09  193294.E-08
238000.E-01  853824.E-09  231435.E-08
252000.E-01  865360.E-09  213578.E-08
266000.E-01  867654.E-09  229930.E-08
280000.E-01  878775.E-09  228008.E-08
294000.E-01  893873.E-09  246909.E-08
308000.E-01  903074.E-09  224560.E-08
322000.E-01  905847.E-09  229432.E-08
336000.E-01  913470.E-09  290690.E-08
350000.E-01  916445.E-09  218779.E-08
364000.E-01  927720.E-09  287017.E-08
378000.E-01  941056.E-09  293973.E-08
392000.E-01  965243.E-09  259153.E-08
406000.E-01  975604.E-09  252685.E-08
420000.E-01  984071.E-09  297742.E-08
434000.E-01  992974.E-09  244773.E-08
448000.E-01  996150.E-09  249592.E-08
462000.E-01  101157.E-08  263811.E-08
476000.E-01  101666.E-08  280771.E-08
490000.E-01  102250.E-08  281145.E-08
504000.E-01  103535.E-08  268985.E-08
518000.E-01  105107.E-08  331954.E-08
532000.E-01  107792.E-08  294590.E-08
546000.E-01  109534.E-08  299107.E-08
560000.E-01  110451.E-08  375671.E-08
574000.E-01  112512.E-08  321567.E-08
588000.E-01  113986.E-08  328692.E-08
602000.E-01  115476.E-08  286244.E-08
616000.E-01  117460.E-08  347317.E-08
630000.E-01  119009.E-08  321828.E-08
644000.E-01  121050.E-08  381329.E-08
658000.E-01  122433.E-08  404050.E-08
672000.E-01  123591.E-08  422352.E-08
686000.E-01  125755.E-08  371591.E-08
700000.E-01  127035.E-08  350205.E-08
714000.E-01  130909.E-08  414617.E-08
728000.E-01  132408.E-08  402780.E-08
742000.E-01  135052.E-08  362481.E-08
756000.E-01  137952.E-08  388134.E-08
770000.E-01  141214.E-08  403500.E-08
784000.E-01  144809.E-08  434539.E-08
798000.E-01  147489.E-08  412523.E-08
812000.E-01  152809.E-08  480176.E-08
826000.E-01  154409.E-08  409403.E-08
840000.E-01  156625.E-08  425795.E-08
854000.E-01  162232.E-08  442636.E-08
868000.E-01  164059.E-08  456290.E-08
882000.E-01  172196.E-08  479434.E-08
896000.E-01  177168.E-08  540724.E-08
910000.E-01  182160.E-08  523098.E-08
924000.E-01  190940.E-08  543448.E-08
938000.E-01  195830.E-08  530810.E-08
952000.E-01  203841.E-08  580639.E-08
966000.E-01  213348.E-08  619287.E-08
980000.E-01  225550.E-08  608955.E-08
994000.E-01  236084.E-08  691666.E-08
100800.E+00  248177.E-08  735636.E-08
102200.E+00  259777.E-08  749239.E-08
103600.E+00  276862.E-08  791963.E-08
105000.E+00  299547.E-08  889495.E-08
106400.E+00  329344.E-08  883953.E-08
107800.E+00  359399.E-08  973648.E-08
109200.E+00  405745.E-08  108361.E-07
110600.E+00  466037.E-08  126169.E-07
112000.E+00  551253.E-08  156694.E-07
113400.E+00  703069.E-08  181883.E-07
114800.E+00  934463.E-08  234687.E-07
116200.E+00  128283.E-07  311088.E-07
117600.E+00  177642.E-07  398125.E-07
119000.E+00  221561.E-07  478024.E-07
120400.E+00  244483.E-07  485554.E-07
121800.E+00  230472.E-07  450320.E-07
123200.E+00  171228.E-07  319846.E-07
124600.E+00  104769.E-07  188313.E-07
126000.E+00  515349.E-08  888594.E-08
127400.E+00  196055.E-08  345253.E-08
128800.E+00  679159.E-09  114850.E-08
130200.E+00  174804.E-09  295265.E-09
131600.E+00  299685.E-10  512510.E-10
133000.E+00  185185.E-11  854814.E-11
134400.E+00  000000.E+00  000000.E+00
135800.E+00  000000.E+00  000000.E+00
137200.E+00  000000.E+00  000000.E+00
138600.E+00  000000.E+00  000000.E+00
140000.E+00  000000.E+00  000000.E+00
