====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 1200 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+05 AAA ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =50000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
140001.E-02  994439.E-09  261848.E-09
280001.E-02  936063.E-09  716031.E-09
420001.E-02  893979.E-09  146774.E-08
560001.E-02  868877.E-09  214383.E-08
700001.E-02  861674.E-09  310294.E-08
840001.E-02  841914.E-09  150868.E-08
980001.E-02  811816.E-09  163425.E-08
112000.E-01  802135.E-09  162729.E-08
126000.E-01  800877.E-09  223509.E-08
140000.E-01  814165.E-09  329330.E-08
154000.E-01  819499.E-09  307074.E-08
168000.E-01  830286.E-09  244776.E-08
182000.E-01  827657.E-09  241460.E-08
196000.E-01  828805.E-09  220527.E-08
210000.E-01  835127.E-09  267201.E-08
224000.E-01  842349.E-09  215901.E-08
238000.E-01  851029.E-09  289674.E-08
252000.E-01  866934.E-09  198019.E-08
266000.E-01  871771.E-09  262828.E-08
280000.E-01  879601.E-09  288924.E-08
294000.E-01  885678.E-09  245833.E-08
308000.E-01  902188.E-09  281498.E-08
322000.E-01  907466.E-09  221422.E-08
336000.E-01  917695.E-09  251558.E-08
350000.E-01  930772.E-09  249270.E-08
364000.E-01  938227.E-09  361010.E-08
378000.E-01  940964.E-09  268120.E-08
392000.E-01  957135.E-09  250239.E-08
406000.E-01  965964.E-09  262781.E-08
420000.E-01  977179.E-09  274828.E-08
434000.E-01  986426.E-09  268092.E-08
448000.E-01  990996.E-09  278776.E-08
462000.E-01  101019.E-08  292763.E-08
476000.E-01  102934.E-08  269798.E-08
490000.E-01  104832.E-08  271468.E-08
504000.E-01  104626.E-08  274305.E-08
518000.E-01  105395.E-08  311851.E-08
532000.E-01  107979.E-08  340474.E-08
546000.E-01  109280.E-08  344681.E-08
560000.E-01  109601.E-08  292882.E-08
574000.E-01  111538.E-08  279512.E-08
588000.E-01  112762.E-08  287162.E-08
602000.E-01  115023.E-08  364823.E-08
616000.E-01  116707.E-08  316703.E-08
630000.E-01  119854.E-08  352735.E-08
644000.E-01  119640.E-08  370027.E-08
658000.E-01  121446.E-08  367217.E-08
672000.E-01  125564.E-08  322847.E-08
686000.E-01  125720.E-08  367088.E-08
700000.E-01  127694.E-08  407135.E-08
714000.E-01  130540.E-08  332673.E-08
728000.E-01  132713.E-08  393537.E-08
742000.E-01  136170.E-08  423088.E-08
756000.E-01  137789.E-08  364167.E-08
770000.E-01  140704.E-08  380570.E-08
784000.E-01  145755.E-08  460078.E-08
798000.E-01  148994.E-08  465940.E-08
812000.E-01  150969.E-08  503698.E-08
826000.E-01  155238.E-08  429784.E-08
840000.E-01  159654.E-08  451705.E-08
854000.E-01  165861.E-08  417282.E-08
868000.E-01  170748.E-08  447749.E-08
882000.E-01  174403.E-08  494453.E-08
896000.E-01  178015.E-08  494668.E-08
910000.E-01  180927.E-08  511703.E-08
924000.E-01  189535.E-08  515592.E-08
938000.E-01  200784.E-08  536402.E-08
952000.E-01  203491.E-08  699357.E-08
966000.E-01  212645.E-08  636412.E-08
980000.E-01  225228.E-08  709103.E-08
994000.E-01  236219.E-08  699855.E-08
100800.E+00  247575.E-08  657933.E-08
102200.E+00  264942.E-08  727623.E-08
103600.E+00  280345.E-08  791989.E-08
105000.E+00  304841.E-08  908198.E-08
106400.E+00  329875.E-08  913050.E-08
107800.E+00  358726.E-08  982859.E-08
109200.E+00  401477.E-08  120362.E-07
110600.E+00  464156.E-08  127234.E-07
112000.E+00  555187.E-08  146275.E-07
113400.E+00  692718.E-08  181325.E-07
114800.E+00  935568.E-08  227651.E-07
116200.E+00  128018.E-07  306798.E-07
117600.E+00  175675.E-07  392203.E-07
119000.E+00  223317.E-07  473929.E-07
120400.E+00  244442.E-07  489379.E-07
121800.E+00  229264.E-07  445090.E-07
123200.E+00  169778.E-07  321138.E-07
124600.E+00  106060.E-07  189910.E-07
126000.E+00  514987.E-08  901932.E-08
127400.E+00  198909.E-08  357526.E-08
128800.E+00  625664.E-09  999806.E-09
130200.E+00  163370.E-09  256804.E-09
131600.E+00  224739.E-10  332619.E-10
133000.E+00  350648.E-11  354202.E-11
134400.E+00  000000.E+00  000000.E+00
135800.E+00  000000.E+00  000000.E+00
137200.E+00  000000.E+00  000000.E+00
138600.E+00  000000.E+00  000000.E+00
140000.E+00  000000.E+00  000000.E+00
