depth_A                  	phonons_eV-Aion          	ionizations_eV-Aion      	frenkelpairs_vac-Aion    	implantedIons_-cm        
4.0000100000e+03         	7.8548615000e-04         	4.4470153389e+00         	4.6560295000e-06         	2.7500000000e-01         
8.0000100000e+03         	1.1973963000e-03         	4.4566904296e+00         	1.3173869500e-05         	1.5000000000e-01         
1.2000000000e+04         	1.9082130000e-03         	4.4761795326e+00         	3.0196230000e-05         	2.2500000000e-01         
1.6000000000e+04         	1.3902115000e-03         	4.4982291873e+00         	1.9795768000e-05         	1.2500000000e-01         
2.0000000000e+04         	1.4667245000e-03         	4.5150522888e+00         	2.1694620000e-05         	2.2500000000e-01         
2.4000000000e+04         	1.5896800000e-03         	4.5361532884e+00         	2.4328223000e-05         	3.0000000000e-01         
2.8000000000e+04         	1.6454968500e-03         	4.5599486030e+00         	2.5997995000e-05         	2.2500000000e-01         
3.2000000000e+04         	1.6710194000e-03         	4.5841664537e+00         	2.6826275000e-05         	4.0000000000e-01         
3.6000000000e+04         	1.6683866000e-03         	4.6068311526e+00         	2.6172860000e-05         	4.0000000000e-01         
4.0000000000e+04         	1.6280571000e-03         	4.6306600031e+00         	2.4525410000e-05         	3.2500000000e-01         
4.4000000000e+04         	1.6781828000e-03         	4.6553130888e+00         	2.6348415000e-05         	3.5000000000e-01         
4.8000000000e+04         	1.6658714000e-03         	4.6808170219e+00         	2.5986125000e-05         	3.0000000000e-01         
5.2000000000e+04         	1.7659305000e-03         	4.7075410396e+00         	2.8848940000e-05         	3.0000000000e-01         
5.6000000000e+04         	1.7288145000e-03         	4.7343580829e+00         	2.7266045000e-05         	2.7500000000e-01         
6.0000000000e+04         	1.7658098000e-03         	4.7630801499e+00         	2.8385775000e-05         	3.7500000000e-01         
6.4000000000e+04         	1.7394725000e-03         	4.7905708051e+00         	2.6319410000e-05         	3.7500000000e-01         
6.8000000000e+04         	1.7744637500e-03         	4.8186870467e+00         	2.7573705000e-05         	5.2500000000e-01         
7.2000000000e+04         	1.8071518500e-03         	4.8473549131e+00         	2.8696400000e-05         	4.2500000000e-01         
7.6000000000e+04         	1.8210268500e-03         	4.8745806072e+00         	2.8576770000e-05         	2.7500000000e-01         
8.0000000000e+04         	1.7644081500e-03         	4.9046604483e+00         	2.7522935000e-05         	5.0000000000e-01         
8.4000000000e+04         	1.7900950500e-03         	4.9345023804e+00         	2.7619355000e-05         	2.0000000000e-01         
8.8000000000e+04         	1.8772535000e-03         	4.9655364534e+00         	3.0240140000e-05         	5.2500000000e-01         
9.2000000000e+04         	1.8614881000e-03         	4.9965911734e+00         	2.9372665000e-05         	4.2500000000e-01         
9.6000000000e+04         	1.8951251500e-03         	5.0294334737e+00         	3.0191355000e-05         	5.2500000000e-01         
1.0000000000e+05         	1.8691148000e-03         	5.0628542257e+00         	2.9089510000e-05         	4.7500000000e-01         
1.0400000000e+05         	1.9506600500e-03         	5.0957437905e+00         	3.1291680000e-05         	4.0000000000e-01         
1.0800000000e+05         	1.9148235500e-03         	5.1303717045e+00         	2.9673465000e-05         	6.2500000000e-01         
1.1200000000e+05         	1.9768174500e-03         	5.1657990800e+00         	3.1093120000e-05         	5.5000000000e-01         
1.1600000000e+05         	1.9091228500e-03         	5.2004988980e+00         	2.8996935000e-05         	6.2500000000e-01         
1.2000000000e+05         	2.0299054500e-03         	5.2389111742e+00         	3.2287145000e-05         	8.0000000000e-01         
1.2400000000e+05         	2.0364409500e-03         	5.2755589346e+00         	3.2206500000e-05         	7.7500000000e-01         
1.2800000000e+05         	1.9855595500e-03         	5.3129148973e+00         	3.0387280000e-05         	6.5000000000e-01         
1.3200000000e+05         	2.0949816000e-03         	5.3516708274e+00         	3.3081905000e-05         	6.7500000000e-01         
1.3600000000e+05         	2.0736207500e-03         	5.3940596435e+00         	3.2899955000e-05         	6.7500000000e-01         
1.4000000000e+05         	2.1345869000e-03         	5.4364548597e+00         	3.3980350000e-05         	1.0250000000e+00         
1.4400000000e+05         	2.0933253000e-03         	5.4783282469e+00         	3.1943010000e-05         	1.1250000000e+00         
1.4800000000e+05         	2.1648391500e-03         	5.5207902624e+00         	3.4050605000e-05         	7.5000000000e-01         
1.5200000000e+05         	2.2062403500e-03         	5.5661792535e+00         	3.5448575000e-05         	1.0500000000e+00         
1.5600000000e+05         	2.1792436500e-03         	5.6111603534e+00         	3.3546020000e-05         	9.5000000000e-01         
1.6000000000e+05         	2.3170769000e-03         	5.6577116191e+00         	3.7063065000e-05         	1.0750000000e+00         
1.6400000000e+05         	2.3312301000e-03         	5.7064924934e+00         	3.6963920000e-05         	1.1500000000e+00         
1.6800000000e+05         	2.2954078500e-03         	5.7574300020e+00         	3.5960710000e-05         	1.4250000000e+00         
1.7200000000e+05         	2.3132377500e-03         	5.8092747054e+00         	3.5721060000e-05         	1.1500000000e+00         
1.7600000000e+05         	2.3596814500e-03         	5.8623642538e+00         	3.6572330000e-05         	1.4250000000e+00         
1.8000000000e+05         	2.4375666000e-03         	5.9161291853e+00         	3.8396870000e-05         	1.3250000000e+00         
1.8400000000e+05         	2.4083196000e-03         	5.9711513370e+00         	3.7506815000e-05         	1.0750000000e+00         
1.8800000000e+05         	2.3823425000e-03         	6.0292556494e+00         	3.6550865000e-05         	1.1250000000e+00         
1.9200000000e+05         	2.5396042000e-03         	6.0907993982e+00         	4.0708315000e-05         	1.8250000000e+00         
1.9600000000e+05         	2.6636722500e-03         	6.1532660337e+00         	4.3427090000e-05         	2.0500000000e+00         
2.0000000000e+05         	2.5878259500e-03         	6.2152313243e+00         	4.0736225000e-05         	2.2750000000e+00         
2.0400000000e+05         	2.6141140000e-03         	6.2818327264e+00         	4.1014215000e-05         	1.9750000000e+00         
2.0800000000e+05         	2.6934672500e-03         	6.3519515749e+00         	4.2439800000e-05         	2.2250000000e+00         
2.1200000000e+05         	2.7120050000e-03         	6.4226057143e+00         	4.2698350000e-05         	2.5250000000e+00         
2.1600000000e+05         	2.8639585500e-03         	6.4973904993e+00         	4.6531315000e-05         	2.2750000000e+00         
2.2000000000e+05         	2.7927294000e-03         	6.5741788428e+00         	4.3299085000e-05         	2.5500000000e+00         
2.2400000000e+05         	2.8597689000e-03         	6.6534728097e+00         	4.4654290000e-05         	2.7750000000e+00         
2.2800000000e+05         	2.9648262500e-03         	6.7388914425e+00         	4.6739395000e-05         	2.9250000000e+00         
2.3200000000e+05         	3.0264392500e-03         	6.8292511929e+00         	4.8340390000e-05         	3.6250000000e+00         
