====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 1200 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+05 AAA ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =50000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
140001.E-02  100872.E-08  245677.E-09
280001.E-02  929087.E-09  104039.E-08
420001.E-02  886090.E-09  162283.E-08
560001.E-02  868782.E-09  233139.E-08
700001.E-02  863936.E-09  306104.E-08
840001.E-02  840724.E-09  125934.E-08
980001.E-02  809790.E-09  167565.E-08
112000.E-01  802396.E-09  211084.E-08
126000.E-01  813016.E-09  198016.E-08
140000.E-01  812681.E-09  204619.E-08
154000.E-01  822766.E-09  211399.E-08
168000.E-01  831160.E-09  223028.E-08
182000.E-01  839326.E-09  264084.E-08
196000.E-01  843692.E-09  224537.E-08
210000.E-01  848371.E-09  222285.E-08
224000.E-01  853419.E-09  222166.E-08
238000.E-01  861283.E-09  225498.E-08
252000.E-01  866943.E-09  208098.E-08
266000.E-01  867732.E-09  243382.E-08
280000.E-01  878323.E-09  240337.E-08
294000.E-01  888683.E-09  281513.E-08
308000.E-01  902557.E-09  228495.E-08
322000.E-01  905059.E-09  230207.E-08
336000.E-01  923777.E-09  231298.E-08
350000.E-01  924662.E-09  227590.E-08
364000.E-01  932727.E-09  247787.E-08
378000.E-01  941030.E-09  275968.E-08
392000.E-01  952459.E-09  232835.E-08
406000.E-01  960228.E-09  253540.E-08
420000.E-01  975749.E-09  251692.E-08
434000.E-01  981507.E-09  284942.E-08
448000.E-01  998520.E-09  327707.E-08
462000.E-01  102120.E-08  261905.E-08
476000.E-01  102757.E-08  291008.E-08
490000.E-01  103346.E-08  263238.E-08
504000.E-01  104827.E-08  302574.E-08
518000.E-01  106435.E-08  314417.E-08
532000.E-01  106974.E-08  270932.E-08
546000.E-01  107884.E-08  305495.E-08
560000.E-01  109447.E-08  329156.E-08
574000.E-01  111808.E-08  328620.E-08
588000.E-01  113701.E-08  302777.E-08
602000.E-01  114501.E-08  324285.E-08
616000.E-01  115922.E-08  364828.E-08
630000.E-01  117621.E-08  330039.E-08
644000.E-01  118428.E-08  335452.E-08
658000.E-01  121384.E-08  364712.E-08
672000.E-01  124713.E-08  340546.E-08
686000.E-01  126872.E-08  386750.E-08
700000.E-01  129374.E-08  409851.E-08
714000.E-01  129442.E-08  380072.E-08
728000.E-01  132406.E-08  396138.E-08
742000.E-01  134496.E-08  392774.E-08
756000.E-01  138412.E-08  412572.E-08
770000.E-01  141332.E-08  392958.E-08
784000.E-01  147065.E-08  383110.E-08
798000.E-01  147821.E-08  417339.E-08
812000.E-01  150950.E-08  408850.E-08
826000.E-01  154685.E-08  456097.E-08
840000.E-01  158967.E-08  408595.E-08
854000.E-01  162201.E-08  445642.E-08
868000.E-01  167014.E-08  491270.E-08
882000.E-01  171628.E-08  494106.E-08
896000.E-01  176461.E-08  469067.E-08
910000.E-01  184076.E-08  521360.E-08
924000.E-01  191026.E-08  526107.E-08
938000.E-01  195526.E-08  545887.E-08
952000.E-01  204823.E-08  536871.E-08
966000.E-01  215122.E-08  576908.E-08
980000.E-01  222549.E-08  622047.E-08
994000.E-01  235077.E-08  667067.E-08
100800.E+00  246841.E-08  697906.E-08
102200.E+00  264733.E-08  729504.E-08
103600.E+00  278771.E-08  754566.E-08
105000.E+00  296744.E-08  906201.E-08
106400.E+00  324958.E-08  831110.E-08
107800.E+00  364698.E-08  101638.E-07
109200.E+00  407956.E-08  117044.E-07
110600.E+00  468524.E-08  124627.E-07
112000.E+00  549422.E-08  146130.E-07
113400.E+00  690235.E-08  186899.E-07
114800.E+00  903638.E-08  233605.E-07
116200.E+00  127186.E-07  303578.E-07
117600.E+00  177157.E-07  402421.E-07
119000.E+00  221562.E-07  472312.E-07
120400.E+00  245024.E-07  496048.E-07
121800.E+00  227425.E-07  442240.E-07
123200.E+00  174446.E-07  326596.E-07
124600.E+00  109374.E-07  198307.E-07
126000.E+00  534392.E-08  934976.E-08
127400.E+00  202772.E-08  356997.E-08
128800.E+00  645091.E-09  106453.E-08
130200.E+00  144029.E-09  278253.E-09
131600.E+00  367133.E-10  698431.E-10
133000.E+00  449015.E-11  869707.E-11
134400.E+00  000000.E+00  000000.E+00
135800.E+00  000000.E+00  000000.E+00
137200.E+00  000000.E+00  000000.E+00
138600.E+00  000000.E+00  000000.E+00
140000.E+00  000000.E+00  000000.E+00
