# Ic = 30.16 A, n = 27.45 , Tavg = 0.00 K, afterRTannealing
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  4389.22       -1.20404500e-01        8.81805000e-09  0.0000  20.0426
    1  4389.50        5.52319200e-01       -3.22429500e-08  0.0000  20.0426
    2  4389.75        1.27939400e+00       -8.57709500e-08  0.0000  20.0426
    3  4389.99        1.93980000e+00       -9.54389500e-08  0.0000  20.0426
    4  4390.28        2.64453700e+00       -7.98829500e-08  0.0000  19.7583
    5  4390.53        3.37793100e+00       -8.51509500e-08  0.0000  19.7583
    6  4390.78        4.05226400e+00       -9.89719500e-08  0.0000  19.7583
    7  4391.03        4.73905300e+00       -9.58109500e-08  0.0000  19.7583
    8  4391.30        5.49284500e+00       -8.03159500e-08  0.0000  20.2567
    9  4391.55        6.19606000e+00       -7.42419500e-08  0.0000  20.2567
   10  4391.80        6.86629500e+00       -8.70719500e-08  0.0000  20.2567
   11  4392.05        7.57320700e+00       -8.59569500e-08  0.0000  20.2567
   12  4392.34        8.31237800e+00       -8.45309500e-08  0.0000  19.7160
   13  4392.59        9.06477000e+00       -7.60399500e-08  0.0000  19.7160
   14  4392.84        9.72425400e+00       -8.33529500e-08  0.0000  19.7160
   15  4393.11        1.04792200e+01       -9.45719500e-08  0.0000  19.7160
   16  4393.39        1.11160700e+01       -8.55229500e-08  0.0000  20.1038
   17  4393.64        1.18550100e+01       -7.67839500e-08  0.0000  20.1038
   18  4393.89        1.25074800e+01       -8.49649500e-08  0.0000  20.1038
   19  4394.28        1.32051600e+01       -8.52749500e-08  0.0000  20.1038
   20  4394.56        1.39267100e+01       -1.03248950e-07  0.0000  20.0569
   21  4394.80        1.45763900e+01       -8.39729500e-08  0.0000  20.0569
   22  4395.06        1.52479400e+01       -9.13489500e-08  0.0000  20.0569
   23  4395.36        1.60065900e+01       -9.90359500e-08  0.0000  19.7586
   24  4395.62        1.67012700e+01       -9.59379500e-08  0.0000  19.7586
   25  4395.86        1.73546500e+01       -9.29629500e-08  0.0000  19.7586
   26  4396.16        1.80930300e+01       -8.35419500e-08  0.0000  19.7586
   27  4396.45        1.87844700e+01       -7.95749500e-08  0.0000  20.2521
   28  4396.69        1.94629900e+01       -7.41829500e-08  0.0000  20.2521
   29  4396.95        2.01896800e+01       -6.92239500e-08  0.0000  20.2521
   30  4397.20        2.09333700e+01       -8.54629500e-08  0.0000  19.7115
   31  4397.45        2.16219500e+01       -8.89959500e-08  0.0000  19.7115
   32  4397.70        2.22988800e+01       -1.02879950e-07  0.0000  19.7115
   33  4397.94        2.29937200e+01       -9.32109500e-08  0.0000  19.7115
   34  4398.25        2.36937100e+01       -9.23429500e-08  0.0000  20.0932
   35  4398.52        2.44274800e+01       -9.85409500e-08  0.0000  20.0932
   36  4398.77        2.50885200e+01       -9.99049500e-08  0.0000  20.0932
   37  4399.02        2.57738000e+01       -9.76109500e-08  0.0000  20.0932
   38  4399.28        2.65342100e+01       -8.96779500e-08  0.0000  20.0686
   39  4399.55        2.72338500e+01       -8.04429500e-08  0.0000  20.0686
   40  4399.80        2.79003700e+01       -6.86669500e-08  0.0000  20.0686
   41  4400.05        2.85950200e+01       -5.71999500e-08  0.0000  20.0686
   42  4400.35        2.93313100e+01       -6.12895000e-09  0.0000  19.7573
   43  4400.60        3.00432200e+01        6.78750500e-08  0.0000  19.7573
   44  4400.86        3.06849500e+01        1.88426050e-07  0.0000  19.7573
   45  4401.14        3.14496100e+01        4.95388050e-07  0.0000  19.7573
   46  4401.46        3.21015000e+01        9.98579050e-07  0.0000  20.2610
   47  4401.71        3.28418200e+01        2.29507605e-06  0.0000  20.2610
   48  4401.96        3.34996200e+01        4.36601205e-06  0.0000  20.2610
   49  4402.28        3.42464300e+01        6.71660305e-06  0.0000  20.2610
   50  4402.53        3.49416500e+01        1.13029961e-05  0.0000  19.7276
   51  4402.79        3.55954600e+01        1.76785031e-05  0.0000  19.7276
   52  4403.03        3.62751400e+01        2.76496541e-05  0.0000  19.7276
