# Ic =  nan A, n =  nan , Tavg = 22.33 K, ffj51-15e19pm2-03T-anneal300k-720min-22k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-28_22:34:44.203000      15628.06        1.34321600e+01       -9.37332929e-08  22.3048  19.1879  19.3785  0.0000
0202-03-28_22:34:44.610000      15628.47        1.37302800e+01       -1.05384693e-07  22.3048  19.1879  19.3785  0.0000
0202-03-28_22:34:44.970000      15628.83        1.40283400e+01       -1.12201993e-07  22.3006  19.1767  19.3665  0.0000
0202-03-28_22:34:45.363000      15629.22        1.43267900e+01       -1.10962493e-07  22.3006  19.1767  19.3665  0.0000
0202-03-28_22:34:45.740000      15629.60        1.46245200e+01       -1.14061293e-07  22.2868  19.1808  19.3450  0.0000
0202-03-28_22:34:46.100000      15629.96        1.49223700e+01       -1.16168393e-07  22.2868  19.1808  19.3450  0.0000
0202-03-28_22:34:46.477000      15630.34        1.52216900e+01       -1.06438293e-07  22.2868  19.1808  19.3450  0.0000
0202-03-28_22:34:46.957000      15630.82        1.55193300e+01       -1.01914093e-07  22.3147  19.1852  19.3859  0.0000
0202-03-28_22:34:47.360000      15631.22        1.58168900e+01       -1.06996093e-07  22.3147  19.1852  19.3859  0.0000
0202-03-28_22:34:47.734000      15631.60        1.61159400e+01       -1.12759793e-07  22.2988  19.1737  19.3433  0.0000
0202-03-28_22:34:48.110000      15631.97        1.64137700e+01       -1.14620493e-07  22.2988  19.1737  19.3433  0.0000
0202-03-28_22:34:48.530000      15632.39        1.67119900e+01       -1.05324993e-07  22.2988  19.1737  19.3433  0.0000
0202-03-28_22:34:48.957000      15632.81        1.70105600e+01       -1.24785393e-07  22.3033  19.1887  19.3719  0.0000
0202-03-28_22:34:49.360000      15633.22        1.73080700e+01       -1.18773793e-07  22.3033  19.1887  19.3719  0.0000
0202-03-28_22:34:49.740000      15633.60        1.76064300e+01       -1.12762093e-07  22.3153  19.1777  19.3793  0.0000
0202-03-28_22:34:50.094000      15633.95        1.79054400e+01       -1.14869293e-07  22.3153  19.1777  19.3793  0.0000
0202-03-28_22:34:50.566000      15634.43        1.82030600e+01       -1.25033293e-07  22.3153  19.1777  19.3793  0.0000
0202-03-28_22:34:50.957000      15634.82        1.85012600e+01       -1.18587793e-07  22.2986  19.1825  19.3555  0.0000
0202-03-28_22:34:51.370000      15635.23        1.87995600e+01       -1.18401893e-07  22.2986  19.1825  19.3555  0.0000
0202-03-28_22:34:51.740000      15635.60        1.90978000e+01       -1.04829193e-07  22.3216  19.1866  19.3931  0.0000
