====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 2400 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     4.E+05 AAA ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =50000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
400001.E-02  522383.E-09  341385.E-09
800001.E-02  475451.E-09  619612.E-09
120000.E-01  457356.E-09  138073.E-08
160000.E-01  443194.E-09  115620.E-08
200000.E-01  428532.E-09  100101.E-08
240000.E-01  427604.E-09  965029.E-09
280000.E-01  427086.E-09  105448.E-08
320000.E-01  428832.E-09  107286.E-08
360000.E-01  433619.E-09  126516.E-08
400000.E-01  438467.E-09  119202.E-08
440000.E-01  440307.E-09  126524.E-08
480000.E-01  442488.E-09  130586.E-08
520000.E-01  445557.E-09  117015.E-08
560000.E-01  450592.E-09  121897.E-08
600000.E-01  457004.E-09  137024.E-08
640000.E-01  456960.E-09  120163.E-08
680000.E-01  459869.E-09  136060.E-08
720000.E-01  462096.E-09  120222.E-08
760000.E-01  467806.E-09  130489.E-08
800000.E-01  473416.E-09  142438.E-08
840000.E-01  478912.E-09  130627.E-08
880000.E-01  484126.E-09  130190.E-08
920000.E-01  489652.E-09  136426.E-08
960000.E-01  493916.E-09  119497.E-08
100000.E+00  495989.E-09  132889.E-08
104000.E+00  498312.E-09  127561.E-08
108000.E+00  507056.E-09  118751.E-08
112000.E+00  513814.E-09  182540.E-08
116000.E+00  519823.E-09  121720.E-08
120000.E+00  525139.E-09  225773.E-08
124000.E+00  528008.E-09  142864.E-08
128000.E+00  536537.E-09  163721.E-08
132000.E+00  541652.E-09  156000.E-08
136000.E+00  550110.E-09  161071.E-08
140000.E+00  550882.E-09  165876.E-08
144000.E+00  555794.E-09  168363.E-08
148000.E+00  564371.E-09  185574.E-08
152000.E+00  571644.E-09  154400.E-08
156000.E+00  578291.E-09  148317.E-08
160000.E+00  584657.E-09  140691.E-08
164000.E+00  593610.E-09  211153.E-08
168000.E+00  605765.E-09  181021.E-08
172000.E+00  607207.E-09  210131.E-08
176000.E+00  619971.E-09  183715.E-08
180000.E+00  627357.E-09  191198.E-08
184000.E+00  636095.E-09  160640.E-08
188000.E+00  643933.E-09  167571.E-08
192000.E+00  657485.E-09  179945.E-08
196000.E+00  668254.E-09  172991.E-08
200000.E+00  678315.E-09  183585.E-08
204000.E+00  688460.E-09  181035.E-08
208000.E+00  696188.E-09  216183.E-08
212000.E+00  713280.E-09  216265.E-08
216000.E+00  723678.E-09  243555.E-08
220000.E+00  746647.E-09  207253.E-08
224000.E+00  750614.E-09  191480.E-08
228000.E+00  770645.E-09  223462.E-08
232000.E+00  787293.E-09  209983.E-08
236000.E+00  802351.E-09  280023.E-08
240000.E+00  817829.E-09  228800.E-08
244000.E+00  844579.E-09  214142.E-08
248000.E+00  865083.E-09  240442.E-08
252000.E+00  893513.E-09  262829.E-08
256000.E+00  908373.E-09  291152.E-08
260000.E+00  945580.E-09  314577.E-08
264000.E+00  965191.E-09  241518.E-08
268000.E+00  996837.E-09  277313.E-08
272000.E+00  102990.E-08  286311.E-08
276000.E+00  106098.E-08  304862.E-08
280000.E+00  111236.E-08  307209.E-08
284000.E+00  115425.E-08  323894.E-08
288000.E+00  119423.E-08  339370.E-08
292000.E+00  125748.E-08  338895.E-08
296000.E+00  134463.E-08  408227.E-08
300000.E+00  139994.E-08  397540.E-08
304000.E+00  150453.E-08  423274.E-08
308000.E+00  158959.E-08  442408.E-08
312000.E+00  174343.E-08  512754.E-08
316000.E+00  191811.E-08  521902.E-08
320000.E+00  214795.E-08  623182.E-08
324000.E+00  248514.E-08  651967.E-08
328000.E+00  311213.E-08  835917.E-08
332000.E+00  417068.E-08  108903.E-07
336000.E+00  615681.E-08  153216.E-07
340000.E+00  905796.E-08  212310.E-07
344000.E+00  113458.E-07  247145.E-07
348000.E+00  117239.E-07  248683.E-07
352000.E+00  915477.E-08  184442.E-07
356000.E+00  532400.E-08  105124.E-07
360000.E+00  233390.E-08  438733.E-08
364000.E+00  755510.E-09  141839.E-08
368000.E+00  168674.E-09  317595.E-09
372000.E+00  316050.E-10  589547.E-10
376000.E+00  481297.E-11  811212.E-11
380000.E+00  292304.E-13  366384.E-13
384000.E+00  000000.E+00  000000.E+00
388000.E+00  000000.E+00  000000.E+00
392000.E+00  000000.E+00  000000.E+00
396000.E+00  000000.E+00  000000.E+00
400000.E+00  000000.E+00  000000.E+00
