====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 2400 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     4.E+05 AAA ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =50000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
400001.E-02  528809.E-09  351266.E-09
800001.E-02  481902.E-09  686001.E-09
120000.E-01  462903.E-09  139145.E-08
160000.E-01  449610.E-09  977945.E-09
200000.E-01  429501.E-09  136511.E-08
240000.E-01  424760.E-09  146045.E-08
280000.E-01  426503.E-09  113419.E-08
320000.E-01  426620.E-09  104740.E-08
360000.E-01  430359.E-09  104017.E-08
400000.E-01  438899.E-09  106550.E-08
440000.E-01  441723.E-09  118243.E-08
480000.E-01  443784.E-09  136289.E-08
520000.E-01  443690.E-09  114682.E-08
560000.E-01  447934.E-09  118676.E-08
600000.E-01  452319.E-09  116293.E-08
640000.E-01  456115.E-09  119013.E-08
680000.E-01  457223.E-09  204910.E-08
720000.E-01  460670.E-09  149326.E-08
760000.E-01  468040.E-09  144771.E-08
800000.E-01  475483.E-09  132272.E-08
840000.E-01  481182.E-09  122882.E-08
880000.E-01  484025.E-09  126225.E-08
920000.E-01  489454.E-09  141716.E-08
960000.E-01  489473.E-09  125072.E-08
100000.E+00  496454.E-09  137802.E-08
104000.E+00  503276.E-09  142915.E-08
108000.E+00  506751.E-09  136663.E-08
112000.E+00  508125.E-09  136478.E-08
116000.E+00  511907.E-09  113627.E-08
120000.E+00  516362.E-09  156108.E-08
124000.E+00  525091.E-09  122652.E-08
128000.E+00  531458.E-09  153431.E-08
132000.E+00  541170.E-09  147128.E-08
136000.E+00  543204.E-09  157554.E-08
140000.E+00  550452.E-09  141189.E-08
144000.E+00  557263.E-09  145246.E-08
148000.E+00  561546.E-09  146951.E-08
152000.E+00  572074.E-09  160261.E-08
156000.E+00  581765.E-09  156354.E-08
160000.E+00  587801.E-09  144722.E-08
164000.E+00  592702.E-09  152308.E-08
168000.E+00  607579.E-09  160710.E-08
172000.E+00  615667.E-09  155156.E-08
176000.E+00  619385.E-09  203746.E-08
180000.E+00  621642.E-09  202982.E-08
184000.E+00  634760.E-09  154189.E-08
188000.E+00  649638.E-09  167297.E-08
192000.E+00  660388.E-09  180198.E-08
196000.E+00  668374.E-09  213118.E-08
200000.E+00  669866.E-09  180251.E-08
204000.E+00  680783.E-09  178549.E-08
208000.E+00  700193.E-09  201759.E-08
212000.E+00  717771.E-09  192605.E-08
216000.E+00  724186.E-09  241289.E-08
220000.E+00  732310.E-09  200431.E-08
224000.E+00  755049.E-09  219772.E-08
228000.E+00  769996.E-09  221750.E-08
232000.E+00  789139.E-09  231533.E-08
236000.E+00  813603.E-09  243771.E-08
240000.E+00  827174.E-09  221225.E-08
244000.E+00  841417.E-09  258947.E-08
248000.E+00  863987.E-09  245652.E-08
252000.E+00  882275.E-09  249446.E-08
256000.E+00  918903.E-09  275973.E-08
260000.E+00  950529.E-09  266034.E-08
264000.E+00  969496.E-09  287057.E-08
268000.E+00  100470.E-08  273476.E-08
272000.E+00  104355.E-08  283326.E-08
276000.E+00  107666.E-08  300470.E-08
280000.E+00  111417.E-08  326644.E-08
284000.E+00  116507.E-08  299947.E-08
288000.E+00  120710.E-08  346455.E-08
292000.E+00  126266.E-08  348358.E-08
296000.E+00  133893.E-08  374339.E-08
300000.E+00  140229.E-08  380650.E-08
304000.E+00  148849.E-08  491382.E-08
308000.E+00  161631.E-08  424142.E-08
312000.E+00  174213.E-08  521304.E-08
316000.E+00  193235.E-08  536446.E-08
320000.E+00  216064.E-08  612712.E-08
324000.E+00  249691.E-08  696569.E-08
328000.E+00  307524.E-08  842461.E-08
332000.E+00  418264.E-08  109447.E-07
336000.E+00  614887.E-08  149659.E-07
340000.E+00  896785.E-08  204975.E-07
344000.E+00  112710.E-07  246277.E-07
348000.E+00  117126.E-07  246116.E-07
352000.E+00  926524.E-08  187002.E-07
356000.E+00  543987.E-08  106670.E-07
360000.E+00  233946.E-08  442159.E-08
364000.E+00  812946.E-09  154720.E-08
368000.E+00  177631.E-09  327260.E-09
372000.E+00  397153.E-10  620090.E-10
376000.E+00  514498.E-11  899330.E-11
380000.E+00  000000.E+00  000000.E+00
384000.E+00  000000.E+00  000000.E+00
388000.E+00  000000.E+00  000000.E+00
392000.E+00  000000.E+00  000000.E+00
396000.E+00  000000.E+00  000000.E+00
400000.E+00  000000.E+00  000000.E+00
