# Ic =  nan A, n =  nan , Tavg = 22.01 K, ffj51-22k-0e19pm2-03T-
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-26_23:33:41.418000      12608.48        1.34306000e+01       -3.84780923e-08  21.9639  19.6898  19.8907  0.0000
0202-03-26_23:33:41.760000      12608.83        1.37286800e+01       -2.45953923e-08  21.9639  19.6898  19.8907  0.0000
0202-03-26_23:33:42.110000      12609.17        1.40269600e+01       -3.22184923e-08  21.9639  19.6898  19.8907  0.0000
0202-03-26_23:33:42.457000      12609.52        1.43252700e+01       -3.56891923e-08  21.9684  19.6800  19.8900  0.0000
0202-03-26_23:33:42.810000      12609.87        1.46232900e+01       -3.62468923e-08  21.9684  19.6800  19.8900  0.0000
0202-03-26_23:33:43.156000      12610.22        1.49218500e+01       -3.24663923e-08  21.9684  19.6800  19.8900  0.0000
0202-03-26_23:33:43.508000      12610.57        1.52196700e+01       -3.82301923e-08  21.9738  19.6843  19.8855  0.0000
0202-03-26_23:33:43.855000      12610.92        1.55178200e+01       -3.84160923e-08  21.9738  19.6843  19.8855  0.0000
0202-03-26_23:33:44.285000      12611.35        1.58157200e+01       -4.89520923e-08  21.9738  19.6843  19.8855  0.0000
0202-03-26_23:33:44.637000      12611.70        1.61143700e+01       -5.19268923e-08  21.9749  19.6873  19.9035  0.0000
0202-03-26_23:33:44.996000      12612.06        1.64125200e+01       -5.27322923e-08  21.9749  19.6873  19.9035  0.0000
0202-03-26_23:33:45.350000      12612.41        1.67106200e+01       -3.76077923e-08  21.9650  19.6774  19.8814  0.0000
0202-03-26_23:33:45.710000      12612.77        1.70090600e+01       -4.47963923e-08  21.9650  19.6774  19.8814  0.0000
0202-03-26_23:33:46.055000      12613.12        1.73071800e+01       -5.03122923e-08  21.9650  19.6774  19.8814  0.0000
0202-03-26_23:33:46.410000      12613.47        1.76052400e+01       -5.34110923e-08  21.9627  19.6908  19.8918  0.0000
0202-03-26_23:33:46.758000      12613.82        1.79038300e+01       -4.41765923e-08  21.9627  19.6908  19.8918  0.0000
0202-03-26_23:33:47.105000      12614.17        1.82014000e+01       -4.94445923e-08  21.9627  19.6908  19.8918  0.0000
0202-03-26_23:33:47.453000      12614.52        1.84998600e+01       -5.95466923e-08  21.9579  19.6804  19.8794  0.0000
0202-03-26_23:33:47.810000      12614.87        1.87977800e+01       -6.15918923e-08  21.9579  19.6804  19.8794  0.0000
0202-03-26_23:33:48.156000      12615.22        1.90960400e+01       -5.27912923e-08  21.9579  19.6804  19.8794  0.0000
0202-03-26_23:33:48.516000      12615.58        1.93943000e+01       -5.13658923e-08  21.9484  19.6847  19.8646  0.0000
0202-03-26_23:33:48.875000      12615.94        1.96926500e+01       -6.01044923e-08  21.9484  19.6847  19.8646  0.0000
0202-03-26_23:33:49.242000      12616.31        1.99904600e+01       -5.99805923e-08  21.9484  19.6847  19.8646  0.0000
0202-03-26_23:33:49.610000      12616.67        2.02888100e+01       -5.22954923e-08  21.9709  19.6877  19.8936  0.0000
0202-03-26_23:33:49.957000      12617.02        2.05869900e+01       -5.70056923e-08  21.9709  19.6877  19.8936  0.0000
0202-03-26_23:33:50.324000      12617.39        2.08846700e+01       -6.14059923e-08  21.9728  19.6788  19.8823  0.0000
0202-03-26_23:33:50.688000      12617.75        2.11834600e+01       -6.38850923e-08  21.9728  19.6788  19.8823  0.0000
0202-03-26_23:33:51.040000      12618.10        2.14812600e+01       -7.33642923e-08  21.9728  19.6788  19.8823  0.0000
0202-03-26_23:33:51.400000      12618.46        2.17798500e+01       -7.94347923e-08  21.9851  19.6920  19.8988  0.0000
0202-03-26_23:33:51.746000      12618.81        2.20779700e+01       -7.41048923e-08  21.9851  19.6920  19.8988  0.0000
0202-03-26_23:33:52.098000      12619.16        2.23761800e+01       -8.05503923e-08  21.9851  19.6920  19.8988  0.0000
0202-03-26_23:33:52.445000      12619.51        2.26743400e+01       -7.55303923e-08  21.9823  19.6832  19.8987  0.0000
0202-03-26_23:33:52.810000      12619.87        2.29724900e+01       -8.31533923e-08  21.9823  19.6832  19.8987  0.0000
0202-03-26_23:33:53.156000      12620.22        2.32708900e+01       -8.61901923e-08  21.9823  19.6832  19.8987  0.0000
0202-03-26_23:33:53.504000      12620.57        2.35691900e+01       -8.27815923e-08  21.9608  19.6872  19.8699  0.0000
0202-03-26_23:33:53.863000      12620.92        2.38672100e+01       -6.88368923e-08  21.9608  19.6872  19.8699  0.0000
0202-03-26_23:33:54.277000      12621.34        2.41654300e+01       -5.84248923e-08  21.9608  19.6872  19.8699  0.0000
0202-03-26_23:33:54.640000      12621.70        2.44636700e+01       -4.46042923e-08  21.9740  19.6910  19.8953  0.0000
0202-03-26_23:33:54.996000      12622.06        2.47620900e+01       -1.65909923e-08  21.9740  19.6910  19.8953  0.0000
