                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
2460001.E-02 11672455.E-03 11672455.E-03 21033666.E-03 00000000.E+00 
2521501.E-02 27227292.E-03 30820951.E-03 38428231.E-03 90554831.E-04 
2583001.E-02 15861717.E-03 16153666.E-03 21748087.E-03 14930424.E-04 
2644501.E-02 15753449.E-03 24398344.E-03 26361304.E-03 17283222.E-03 
2706001.E-02 13971205.E-03 18538652.E-03 34965834.E-03 68271086.E-04 
2767501.E-02 21584821.E-03 25324150.E-03 35702109.E-03 11334089.E-03 
2829001.E-02 20348974.E-03 21833644.E-03 42168648.E-03 18032695.E-04 
2890501.E-02 20064699.E-03 25451216.E-03 38310505.E-03 50573843.E-04 
2952001.E-02 26521866.E-03 29796947.E-03 35815684.E-03 76484779.E-04 
3013501.E-02 16125920.E-03 18584541.E-03 30432532.E-03 86240724.E-04 
3075001.E-02 17727959.E-03 23989346.E-03 31972662.E-03 88074207.E-04 
3136501.E-02 23997621.E-03 26047124.E-03 39555267.E-03 52460564.E-04 
3198001.E-02 15137938.E-03 19809267.E-03 31423186.E-03 13951146.E-03 
3259501.E-02 18172554.E-03 22482524.E-03 28792925.E-03 12412662.E-03 
3321001.E-02 20979184.E-03 24131430.E-03 34602816.E-03 95751089.E-04 
3382501.E-02 24977250.E-03 28236161.E-03 35558118.E-03 71624646.E-04 
3444001.E-02 25979428.E-03 28278533.E-03 30899974.E-03 10900035.E-03 
3505501.E-02 15328756.E-03 17154140.E-03 30634689.E-03 91127643.E-04 
3567001.E-02 26599639.E-03 29309819.E-03 34893545.E-03 10795862.E-03 
3628501.E-02 20179490.E-03 24302547.E-03 29928272.E-03 12046368.E-03 
3690001.E-02 23182070.E-03 27240192.E-03 34204471.E-03 81093793.E-04 
3751501.E-02 18352426.E-03 22227393.E-03 30387137.E-03 12052788.E-03 
3813001.E-02 17000386.E-03 20408707.E-03 29521849.E-03 91186241.E-04 
3874501.E-02 18698043.E-03 21349276.E-03 28948171.E-03 84866901.E-04 
3936001.E-02 20997704.E-03 24436341.E-03 31295154.E-03 84644283.E-04 
3997501.E-02 19716185.E-03 23252637.E-03 28254165.E-03 10052113.E-03 
4059001.E-02 14846431.E-03 18759915.E-03 21569298.E-03 13246025.E-03 
4120501.E-02 19951764.E-03 23788261.E-03 32231230.E-03 86724657.E-04 
4182001.E-02 20219349.E-03 23165890.E-03 29493426.E-03 83331576.E-04 
4243501.E-02 16728235.E-03 19492493.E-03 25972791.E-03 97146784.E-04 
4305001.E-02 16252500.E-03 19500847.E-03 25706638.E-03 10968909.E-03 
4366501.E-02 19097006.E-03 22289514.E-03 24733396.E-03 10709514.E-03 
4428001.E-02 18074095.E-03 20395145.E-03 25391674.E-03 91425680.E-04 
4489501.E-02 12854663.E-03 15977467.E-03 21313802.E-03 11029535.E-03 
4551001.E-02 14137181.E-03 16655361.E-03 22196389.E-03 94692905.E-04 
4612501.E-02 14328635.E-03 17542637.E-03 21926001.E-03 10516701.E-03 
4674001.E-02 12707094.E-03 15657558.E-03 20552892.E-03 95702807.E-04 
4735501.E-02 10761357.E-03 13456202.E-03 18794339.E-03 88062921.E-04 
4797001.E-02 10969837.E-03 13467651.E-03 18043374.E-03 81487483.E-04 
4858501.E-02 11908259.E-03 14574664.E-03 19136800.E-03 80996010.E-04 
4920001.E-02 12161532.E-03 14805387.E-03 19057397.E-03 82903093.E-04 
4981501.E-02 10238029.E-03 12759674.E-03 16663226.E-03 79573384.E-04 
5043001.E-02 10395594.E-03 12641012.E-03 16674894.E-03 70309553.E-04 
5104501.E-02 94928115.E-04 11626524.E-03 14616533.E-03 70964509.E-04 
