====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 150 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 5.846E22 atoms/cm3 = 10.47 g/cm3
  Layer # 1- Ag = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =50000.00
 Total Target Vacancies     = 5 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  1640.00E-08  1330.36E-08  
400010.E-03  3590.00E-08  4230.21E-08  
600010.E-03  6550.00E-08  8656.82E-08  
800010.E-03  9510.00E-08  1131.19E-07  
100001.E-02  1266.00E-07  1433.81E-07  
120001.E-02  1428.00E-07  1461.67E-07  
140001.E-02  9270.00E-08  1047.56E-07  
160001.E-02  1129.00E-07  9634.39E-08  
180001.E-02  1329.00E-07  1367.55E-07  
200001.E-02  1475.00E-07  1515.37E-07  
220001.E-02  1624.00E-07  1591.40E-07  
240001.E-02  1664.00E-07  1805.72E-07  
260001.E-02  1792.00E-07  1917.05E-07  
280001.E-02  1928.00E-07  1864.44E-07  
300001.E-02  2007.00E-07  2051.89E-07  
320001.E-02  2128.00E-07  1910.03E-07  
340001.E-02  2213.00E-07  2179.59E-07  
360001.E-02  2418.00E-07  2178.14E-07  
380001.E-02  2555.00E-07  2210.42E-07  
400001.E-02  2837.00E-07  2641.13E-07  
420001.E-02  2983.00E-07  2649.53E-07  
440001.E-02  3135.00E-07  2544.90E-07  
460001.E-02  3571.00E-07  2711.15E-07  
480001.E-02  3747.00E-07  2876.94E-07  
500001.E-02  4269.00E-07  2966.44E-07  
520001.E-02  4739.00E-07  3238.14E-07  
540001.E-02  5341.00E-07  3194.42E-07  
560001.E-02  6066.00E-07  3358.55E-07  
580001.E-02  6618.00E-07  3317.13E-07  
600001.E-02  7274.00E-07  3195.02E-07  
620001.E-02  8199.00E-07  3306.56E-07  
640001.E-02  9097.00E-07  3280.39E-07  
660001.E-02  9449.00E-07  3042.33E-07  
680001.E-02  9717.00E-07  2737.03E-07  
700001.E-02  9565.00E-07  2240.64E-07  
720001.E-02  9232.00E-07  1738.80E-07  
740001.E-02  8111.00E-07  1295.67E-07  
760001.E-02  6764.00E-07  8867.53E-08  
780001.E-02  4961.00E-07  5441.29E-08  
800001.E-02  3302.00E-07  2646.15E-08  
820001.E-02  2041.00E-07  1693.19E-08  
840001.E-02  1164.00E-07  6429.64E-09  
860001.E-02  6020.00E-08  2784.61E-09  
880001.E-02  2360.00E-08  1101.06E-09  
900001.E-02  1080.00E-08  3593.83E-10  
920001.E-02  5100.00E-09  2089.23E-10  
940001.E-02  1400.00E-09  2146.15E-11  
960001.E-02  6000.00E-10  1149.07E-11  
980001.E-02  2000.00E-10  0000.00E+00  
100000.E-01  1000.00E-10  0000.00E+00  
102000.E-01  0000.00E+00  0000.00E+00  
