====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 2400 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     4.E+05 AAA ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =50000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
400001.E-02  523987.E-09  222817.E-09
800001.E-02  477545.E-09  695139.E-09
120000.E-01  460368.E-09  164396.E-08
160000.E-01  443505.E-09  861722.E-09
200000.E-01  426651.E-09  137457.E-08
240000.E-01  423926.E-09  919890.E-09
280000.E-01  426942.E-09  135779.E-08
320000.E-01  428364.E-09  140020.E-08
360000.E-01  431341.E-09  123866.E-08
400000.E-01  433056.E-09  132288.E-08
440000.E-01  436031.E-09  162233.E-08
480000.E-01  439428.E-09  107889.E-08
520000.E-01  444382.E-09  121673.E-08
560000.E-01  449101.E-09  135605.E-08
600000.E-01  453813.E-09  237211.E-08
640000.E-01  459279.E-09  106438.E-08
680000.E-01  463626.E-09  108411.E-08
720000.E-01  467021.E-09  134908.E-08
760000.E-01  468708.E-09  117879.E-08
800000.E-01  474116.E-09  140573.E-08
840000.E-01  479602.E-09  129600.E-08
880000.E-01  480702.E-09  133473.E-08
920000.E-01  482832.E-09  152396.E-08
960000.E-01  489466.E-09  203896.E-08
100000.E+00  494611.E-09  134023.E-08
104000.E+00  501066.E-09  129603.E-08
108000.E+00  503465.E-09  157364.E-08
112000.E+00  506195.E-09  141392.E-08
116000.E+00  509629.E-09  128643.E-08
120000.E+00  522286.E-09  129468.E-08
124000.E+00  530864.E-09  182687.E-08
128000.E+00  537293.E-09  154408.E-08
132000.E+00  540916.E-09  145241.E-08
136000.E+00  543434.E-09  132256.E-08
140000.E+00  545541.E-09  148247.E-08
144000.E+00  550792.E-09  158408.E-08
148000.E+00  557913.E-09  154908.E-08
152000.E+00  568762.E-09  164467.E-08
156000.E+00  577213.E-09  167712.E-08
160000.E+00  586913.E-09  175967.E-08
164000.E+00  592892.E-09  167592.E-08
168000.E+00  601698.E-09  175779.E-08
172000.E+00  605827.E-09  177688.E-08
176000.E+00  619316.E-09  166284.E-08
180000.E+00  629253.E-09  204005.E-08
184000.E+00  634524.E-09  147712.E-08
188000.E+00  643210.E-09  181489.E-08
192000.E+00  657522.E-09  171219.E-08
196000.E+00  664788.E-09  202552.E-08
200000.E+00  670557.E-09  189626.E-08
204000.E+00  689464.E-09  178573.E-08
208000.E+00  706336.E-09  183085.E-08
212000.E+00  718688.E-09  193029.E-08
216000.E+00  726997.E-09  192042.E-08
220000.E+00  738872.E-09  190274.E-08
224000.E+00  749028.E-09  192398.E-08
228000.E+00  761557.E-09  207098.E-08
232000.E+00  780605.E-09  265019.E-08
236000.E+00  798406.E-09  205176.E-08
240000.E+00  824502.E-09  224068.E-08
244000.E+00  848307.E-09  272956.E-08
248000.E+00  865680.E-09  242376.E-08
252000.E+00  883369.E-09  229937.E-08
256000.E+00  906980.E-09  263438.E-08
260000.E+00  935807.E-09  255032.E-08
264000.E+00  963385.E-09  247908.E-08
268000.E+00  100206.E-08  286707.E-08
272000.E+00  103119.E-08  277343.E-08
276000.E+00  106592.E-08  269520.E-08
280000.E+00  111500.E-08  331231.E-08
284000.E+00  117588.E-08  341337.E-08
288000.E+00  122021.E-08  357748.E-08
292000.E+00  126418.E-08  354470.E-08
296000.E+00  132456.E-08  381613.E-08
300000.E+00  139995.E-08  406764.E-08
304000.E+00  149100.E-08  428701.E-08
308000.E+00  161284.E-08  442522.E-08
312000.E+00  172124.E-08  480190.E-08
316000.E+00  190726.E-08  513800.E-08
320000.E+00  214478.E-08  636033.E-08
324000.E+00  252433.E-08  678285.E-08
328000.E+00  310820.E-08  835891.E-08
332000.E+00  426457.E-08  113013.E-07
336000.E+00  621579.E-08  152051.E-07
340000.E+00  898702.E-08  210089.E-07
344000.E+00  113129.E-07  249275.E-07
348000.E+00  115173.E-07  243014.E-07
352000.E+00  910605.E-08  184704.E-07
356000.E+00  545238.E-08  108146.E-07
360000.E+00  241435.E-08  465448.E-08
364000.E+00  792395.E-09  147830.E-08
368000.E+00  203925.E-09  346963.E-09
372000.E+00  247834.E-10  446897.E-10
376000.E+00  191995.E-11  322494.E-11
380000.E+00  000000.E+00  000000.E+00
384000.E+00  000000.E+00  000000.E+00
388000.E+00  000000.E+00  000000.E+00
392000.E+00  000000.E+00  000000.E+00
396000.E+00  000000.E+00  000000.E+00
400000.E+00  000000.E+00  000000.E+00
