% Model:              permanent_magnet.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 27 2025, 16:26
% Dimension:          1
% Nodes:              225
% Expressions:        1
% Description:        Line graph
% x-coordinate (mm)       Magnetic flux density, x component
-4.762499999999999        -0.15274945110104352
-4.730072471706091        -0.1543003434930796
-4.660043027326475        -0.1576496006896945
-4.651974238694444        -0.15803550191500587
-4.644672798231406        -0.15842147826426495
-4.573990988340463        -0.16218333329075524
-4.49631827730148         -0.16631726080186388
-4.496008987227866        -0.16624109961970915
-4.4956686836112745       -0.16634869352428489
-4.418812210206513        -0.17066100742411483
-4.34926688135867         -0.1745631027841179
-4.341605148791094        -0.17498989688812433
-4.3341666799223875       -0.17545374899950725
-4.266433262712671        -0.1796775064875612
-4.191382676657872        -0.1844969777763984
-4.191264828825278        -0.18450440460997794
-4.191107380639994        -0.18426521062293216
-4.115739711581011        -0.1893738628573116
-4.047405150479224        -0.1938999903437718
-4.040213837822168        -0.19437630565707822
-4.0333580104727975       -0.19487478728858107
-3.965544434126401        -0.1999068705972471
-3.8960721266852967       -0.20506203948117596
-3.8908612199152826       -0.2056021183524139
-3.885399460425888        -0.20588150927357782
-3.8208295771288054       -0.21096973709007064
-3.7647313515491834       -0.21539038240139444
-3.750963104158468        -0.2164753460993388
-3.734598939370816        -0.21786632847981335
-3.677444625977487        -0.2230003907895133
-3.6259919929767244       -0.22762228208940757
-3.604267791769993        -0.229196914302289
-3.5829902088970753       -0.23143641898525938
-3.530086460242731        -0.23648860041201708
-3.4697067408675886       -0.2422547191567012
-3.4558122202452473       -0.24347713764543294
-3.4422380824755883       -0.24494493810633922
-3.3717370467293613       -0.25256836542957917
-3.2886062295677787       -0.26155747794750034
-3.2876965434044383       -0.261112236299858
-3.287095629075666        -0.2617655803200649
-3.2102274619553457       -0.2706525952008841
-3.1646623650743773       -0.27592054563078566
-3.1328043543517734       -0.27960376881629595
-3.1006835418932344       -0.2839237129768486
-3.0570942858408676       -0.2894936060658667
-2.987956916822231        -0.29914650739445897
-2.981470727636227        -0.2979014331409871
-2.9766182149679925       -0.2987041378873064
-2.9088938294610784       -0.30874618966893264
-2.8576829946608537       -0.31537241270762195
-2.8362674580606857       -0.3181433912038662
-2.8139989187616905       -0.3208917172831111
-2.781476616057647        -0.3252142756267658
-2.755607268792506        -0.3286525857576209
-2.7193737332565493       -0.33227090863345726
-2.6790060844417414       -0.3368968652397537
-2.6518163987067513       -0.3400126847150423
-2.6152463655316143       -0.34294124636420553
-2.5792385240513447       -0.3465991085167212
-2.5307866647163126       -0.3487449204175658
-2.498411038057776        -0.3501787561038496
-2.447771768480176        -0.3524214429439522
-2.4159793508944163       -0.3523219686036749
-2.358753197330909        -0.3482389242288364
-2.3274407878495684       -0.34600480661941835
-2.269654505911978        -0.3418817974930649
-2.2384573124829448       -0.3361167171038325
-2.176538564386005        -0.32821731779046304
-2.1448464327084644       -0.3228193606737601
-2.0827915493037916       -0.3122498728618064
-2.0509609608389785       -0.3074254174284716
-1.9877558962300046       -0.29446935424089316
-1.955593912844101        -0.2878766438060031
-1.8927517708058363       -0.2749949741466574
-1.859905523624511        -0.26960948272683494
-1.796127713541436        -0.25683949105389525
-1.7624798838487787       -0.2501023123325226
-1.6990333285428219       -0.23739864656102266
-1.6649702796535486       -0.23188804186455203
-1.6012950760609652       -0.2202027468585727
-1.5667055078778014       -0.21385507483641414
-1.5032601268059782       -0.20221195549383877
-1.4683916322586361       -0.19683932318723202
-1.4048185172612513       -0.18626141700077434
-1.3696273140804296       -0.1804059662201942
-1.3061981421022681       -0.17025552170313887
-1.2708595981827044       -0.16472905192113624
-1.2073994414532403       -0.155084419353591
-1.171870806126859        -0.14968480089991973
-1.1084941309887744       -0.14005285580931237
-1.0728935654630702       -0.13519472745074904
-1.0095004467945405       -0.1262782312190529
-0.9737985053607898       -0.12125661005662049
-0.9104444963766463       -0.11234561475878739
-0.8747159759981358       -0.10772614562086585
-0.8113424694072514       -0.09935552073109641
-0.7755747593961885       -0.09463117928662544
-0.7122088961951023       -0.0862615639661863
-0.6764368944134442       -0.08183823667796959
-0.613049998733792        -0.07386051087400718
-0.5772686070690181       -0.06935714896418363
-0.5138779935398123       -0.061378955240412036
-0.47809537495703114      -0.05721148366118955
-0.4146917502838819       -0.04938969409704941
