% Model:              permanent_magnet.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 27 2025, 16:26
% Dimension:          1
% Nodes:              225
% Expressions:        1
% Description:        Line graph
% x-coordinate (mm)       Magnetic flux density, x component
-0.3789037406540484       -0.045036464010759156
-0.3154992292115112       -0.03732398070495077
-0.27970584891273165      -0.0331421835514006
-0.2162942593101746       -0.025583717331268473
-0.18049694846286687      -0.021316788107341552
-0.11708492569276889      -0.013758270254977811
-0.08128521960459531      -0.009623217875504818
-0.0178668055343641       -0.0021146568582940946
0.017931847213474406      0.0021238024666804262
0.08135401670907125       0.00963280811564131
0.11714655125907684       0.013767047966005122
0.18056825229122858       0.021326730582126866
0.2163615073336239        0.02559318265633603
0.2797856641895977        0.033153157999527255
0.31556815397459304       0.03733374433250733
0.3789889851227796        0.04504826647115598
0.414779169852773         0.04940179144784375
0.47819470137905673       0.05722527224681497
0.5139849778253497        0.061393568950305046
0.5773965889364256        0.06937461621800965
0.6132103180989806        0.07388216712660345
0.6766034406426955        0.08186088740516914
0.7124443972507744        0.08629299646426677
0.7758274248809905        0.09466560757412766
0.8117040970766574        0.09940475361118067
0.8750620729977219        0.10777405550363534
0.9109688166224787        0.11241727844709057
0.9743323339979002        0.12133174779163668
1.010287845431209         0.1263902470308844
1.0735914383343232        0.13529628573752284
1.1096433959462761        0.14021867782017217
1.1728685381948105        0.1498335544629472
1.2090149908603647        0.1553304765906559
1.2721189446906955        0.16492692367123313
1.3084271469913376        0.17060565241151726
1.3713791256482262        0.18068712116247868
1.407723197565571         0.18674305373177194
1.4705759356888823        0.19721606690255494
1.5070518868610296        0.20284892123179593
1.5695145188679314        0.21434367500341456
1.6060528932832618        0.22106768908391283
1.6683033648640082        0.2325233998024203
1.7050159567535834        0.23848106665155488
1.7664594745820894        0.2508396907159326
1.8032186101027987        0.25823334838540307
1.864361422430229         0.2705314891575908
1.9012503536020635        0.2765740031064525
1.9608531756584646        0.28885341496160255
1.9978796425928627        0.2964816315684968
2.05703641575768          0.3086691481432093
2.094242722718421         0.3141997634236429
2.1512393232106257        0.3238359907609729
2.188872092468954         0.3301984389907805
2.2454083344413434        0.3372871992452142
2.283031474211598         0.34330783560951705
2.336023270192362         0.34670299367519286
2.374457929373102         0.3491654832116189
2.4264520460839654        0.35249672046167424
2.465651111645757         0.3525230130150549
2.513398554697215         0.3497737109294317
2.5544010743011794        0.34741278214542304
2.5997075016640494        0.3448040339637366
2.6435899189453935        0.3407300008770622
2.6842137360268086        0.33681524900766163
2.727246847914965         0.3313328633110567
2.7670615961832774        0.32584589181155105
2.8141318757415243        0.32184806011066086
2.848737612825383         0.31687375990273114
2.898636309813106         0.3097012180146583
2.9267525216643397        0.3056597355830358
2.9890486772906075        0.29899850756331564
3.0062942048266414        0.2965162064154765
3.0692044133300933        0.2874609842744119
3.091426480698515         0.2842623657792296
3.0954957861970156        0.284118811789116
3.16144111528407          0.27684203400720586
3.167954096398841         0.2757796919295589
3.182734507789503         0.27400128926659373
3.237239286075676         0.2674431874461366
3.279384231760909         0.26237224038952234
3.3007076321226267        0.25975262019792783
3.325197509137177         0.2577538538620974
3.373759939092294         0.25241098439468673
3.4415144399577904        0.2449565910645307
3.4469572171179528        0.24435777325550087
3.4515517744234026        0.24401510041802787
3.5209147466286357        0.23738662088183732
3.5901985098650147        0.23076571073047447
3.5948578296756777        0.23005965100881853
3.5998418658105753        0.22990246697395464
3.6699481213305316        0.22364156864583662
3.742077601223495         0.2171999845572221
3.745002026645485         0.21696846235110387
3.7479596935131156        0.21673468769063906
3.8205052594991984        0.21100066969068162
3.890280074330177         0.20548565249085354
3.896006632696912         0.20522109506791836
3.9020833616350052        0.2046061036073065
3.971924332657431         0.19943954700815442
4.036909864434478         0.19463217644704936
4.047829374440488         0.1938437752255229
4.0587099752982905        0.19312646292182897
4.124321654926346         0.1888009605274219
4.1965150502593955        0.1840415532672573
4.200836198067407         0.1836443435263473
4.204257759907428         0.18355386212762714
4.276577986113001         0.17905710614671885
4.346646160558288         0.17470037914184505
4.352379228075249         0.17434390617434536
4.358804658563776         0.1739878687400173
4.4282419648442355        0.17012736360063382
4.491161392273513         0.1665638058022023
4.504140828131152         0.16593349590843662
4.517798320069297         0.16521322962120968
4.580424508351778         0.16184090096365217
4.638735496052954         0.15875492631413116
4.656668647487033         0.1577973671914615
4.675563633318002         0.15689602402104952
4.733463144367366         0.15413405694040475
4.762499999999999         0.15274891848363384
