% Model:              permanent_magnet.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 27 2025, 16:26
% Dimension:          1
% Nodes:              225
% Expressions:        1
% Description:        Line graph
% x-coordinate (mm)       Magnetic flux density, y component
-4.762499999999999        -0.038849079762573964
-4.730072471706091        -0.03850349783810086
-4.660043027326475        -0.03775719025834559
-4.651974238694444        -0.037671200741095826
-4.644672798231406        -0.03758319194309987
-4.573990988340463        -0.036731818663537794
-4.49631827730148         -0.035796238903599446
-4.496008987227866        -0.03564676481769611
-4.4956686836112745       -0.035803574678082074
-4.418812210206513        -0.034610132986647946
-4.34926688135867         -0.03353022011510051
-4.341605148791094        -0.03341099548553977
-4.3341666799223875       -0.033279870943333234
-4.266433262712671        -0.03208587343115066
-4.191382676657872        -0.030559080568546542
-4.191264828825278        -0.030557223011514364
-4.191107380639994        -0.030544957640396622
-4.115739711581011        -0.029038836079165166
-4.047405150479224        -0.027457387543057248
-4.040213837822168        -0.027290960910752594
-4.0333580104727975       -0.027111208155255175
-3.965544434126401        -0.02533602590127271
-3.8960721266852967       -0.023517422400951265
-3.8908612199152826       -0.02309609510821
-3.885399460425888        -0.023159451495990167
-3.8208295771288054       -0.020971431116528064
-3.7647313515491834       -0.019070482027692737
-3.750963104158468        -0.01860393006349346
-3.734598939370816        -0.017974687957912804
-3.677444625977487        -0.01576810935484674
-3.6259919929767244       -0.013781657723986873
-3.604267791769993        -0.012458679833376297
-3.5829902088970753       -0.011702497470634583
-3.530086460242731        -0.008944848264995883
-3.4697067408675886       -0.005797508248326706
-3.4558122202452473       -0.005073208522333743
-3.4422380824755883       -0.004228718826842867
-3.3717370467293613       1.5737178306459083E-4
-3.2886062295677787       0.005329200717019584
-3.2876965434044383       0.0065158101023648956
-3.287095629075666        0.005320302541640568
-3.2102274619553457       0.01238898766986725
-3.1646623650743773       0.01657908787330419
-3.1328043543517734       0.019508704319827097
-3.1006835418932344       0.023099828877422953
-3.0570942858408676       0.027965889147024442
-2.987956916822231        0.037318347499865116
-2.981470727636227        0.03795578626053478
-2.9766182149679925       0.03864779823799706
-2.9088938294610784       0.04785202066716639
-2.8576829946608537       0.05617116528026372
-2.8362674580606857       0.05965009599168281
-2.8139989187616905       0.06397106297399942
-2.781476616057647        0.07030190410592264
-2.755607268792506        0.07533767076773014
-2.7193737332565493       0.08348768235107713
-2.6790060844417414       0.09314845096064954
-2.6518163987067513       0.09965547502979545
-2.6152463655316143       0.1091783917006717
-2.5792385240513447       0.11909892904099265
-2.5307866647163126       0.1330592949510906
-2.498411038057776        0.14238763860858836
-2.447771768480176        0.15697825994749728
-2.4159793508944163       0.16915617544552483
-2.358753197330909        0.18610806727556575
-2.3274407878495684       0.19538362653321542
-2.269654505911978        0.21250144311998415
-2.2384573124829448       0.2221429326549157
-2.176538564386005        0.2389635838072679
-2.1448464327084644       0.2467497344317845
-2.0827915493037916       0.2619954324520926
-2.0509609608389785       0.2696690241528092
-1.9877558962300046       0.28069414261300263
-1.955593912844101        0.2863042891880898
-1.8927517708058363       0.2972661015768628
-1.859905523624511        0.30188509760207255
-1.796127713541436        0.30932106157209166
-1.7624798838487787       0.31324411959082715
-1.6990333285428219       0.3206414619997584
