====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 1200 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+05 AAA ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =50000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
140001.E-02  991582.E-09  276500.E-09
280001.E-02  931377.E-09  899653.E-09
420001.E-02  892373.E-09  153708.E-08
560001.E-02  866066.E-09  255892.E-08
700001.E-02  859416.E-09  284555.E-08
840001.E-02  842717.E-09  128638.E-08
980001.E-02  813507.E-09  175343.E-08
112000.E-01  805608.E-09  233405.E-08
126000.E-01  805675.E-09  197875.E-08
140000.E-01  815779.E-09  267757.E-08
154000.E-01  823361.E-09  223039.E-08
168000.E-01  827097.E-09  212592.E-08
182000.E-01  832390.E-09  239384.E-08
196000.E-01  842946.E-09  299054.E-08
210000.E-01  849433.E-09  238321.E-08
224000.E-01  865449.E-09  233893.E-08
238000.E-01  873687.E-09  228167.E-08
252000.E-01  877819.E-09  245161.E-08
266000.E-01  885028.E-09  254364.E-08
280000.E-01  883748.E-09  245600.E-08
294000.E-01  888403.E-09  222541.E-08
308000.E-01  896644.E-09  246338.E-08
322000.E-01  903729.E-09  217152.E-08
336000.E-01  913049.E-09  379099.E-08
350000.E-01  935160.E-09  260814.E-08
364000.E-01  933624.E-09  294424.E-08
378000.E-01  939190.E-09  223272.E-08
392000.E-01  948483.E-09  253982.E-08
406000.E-01  959598.E-09  269054.E-08
420000.E-01  974627.E-09  287647.E-08
434000.E-01  983981.E-09  287952.E-08
448000.E-01  990170.E-09  253571.E-08
462000.E-01  101378.E-08  278181.E-08
476000.E-01  102252.E-08  296111.E-08
490000.E-01  103520.E-08  274153.E-08
504000.E-01  104273.E-08  289834.E-08
518000.E-01  106795.E-08  330184.E-08
532000.E-01  107420.E-08  294721.E-08
546000.E-01  109019.E-08  290487.E-08
560000.E-01  110202.E-08  304069.E-08
574000.E-01  111818.E-08  293359.E-08
588000.E-01  112649.E-08  318926.E-08
602000.E-01  115050.E-08  341616.E-08
616000.E-01  116681.E-08  329796.E-08
630000.E-01  118889.E-08  382986.E-08
644000.E-01  120769.E-08  329713.E-08
658000.E-01  123686.E-08  308804.E-08
672000.E-01  124305.E-08  430882.E-08
686000.E-01  126322.E-08  320879.E-08
700000.E-01  128677.E-08  391604.E-08
714000.E-01  130572.E-08  322105.E-08
728000.E-01  132774.E-08  362449.E-08
742000.E-01  135943.E-08  371633.E-08
756000.E-01  138637.E-08  399539.E-08
770000.E-01  141582.E-08  388848.E-08
784000.E-01  145302.E-08  404412.E-08
798000.E-01  148236.E-08  401700.E-08
812000.E-01  152593.E-08  412100.E-08
826000.E-01  155163.E-08  413718.E-08
840000.E-01  159024.E-08  468886.E-08
854000.E-01  163450.E-08  449044.E-08
868000.E-01  169534.E-08  492960.E-08
882000.E-01  173644.E-08  421047.E-08
896000.E-01  179131.E-08  482855.E-08
910000.E-01  185429.E-08  521958.E-08
924000.E-01  189897.E-08  530500.E-08
938000.E-01  196154.E-08  541576.E-08
952000.E-01  205732.E-08  558866.E-08
966000.E-01  211922.E-08  583407.E-08
980000.E-01  219415.E-08  605568.E-08
994000.E-01  231995.E-08  685590.E-08
100800.E+00  249042.E-08  694529.E-08
102200.E+00  262997.E-08  768706.E-08
103600.E+00  278580.E-08  855975.E-08
105000.E+00  298223.E-08  813428.E-08
106400.E+00  329868.E-08  909060.E-08
107800.E+00  357640.E-08  986821.E-08
109200.E+00  407605.E-08  116685.E-07
110600.E+00  462865.E-08  133437.E-07
112000.E+00  555709.E-08  151861.E-07
113400.E+00  689360.E-08  180577.E-07
114800.E+00  910703.E-08  229318.E-07
116200.E+00  126568.E-07  301535.E-07
117600.E+00  173860.E-07  393978.E-07
119000.E+00  221420.E-07  467044.E-07
120400.E+00  246051.E-07  501608.E-07
121800.E+00  227581.E-07  441207.E-07
123200.E+00  174969.E-07  331503.E-07
124600.E+00  107450.E-07  194236.E-07
126000.E+00  537272.E-08  969511.E-08
127400.E+00  205163.E-08  354153.E-08
128800.E+00  644683.E-09  107639.E-08
130200.E+00  169480.E-09  329988.E-09
131600.E+00  318023.E-10  470265.E-10
133000.E+00  536456.E-11  740128.E-11
134400.E+00  000000.E+00  000000.E+00
135800.E+00  000000.E+00  000000.E+00
137200.E+00  000000.E+00  000000.E+00
138600.E+00  000000.E+00  000000.E+00
140000.E+00  000000.E+00  000000.E+00
