depth_A                  	phonons_eV-Aion          	ionizations_eV-Aion      	frenkelpairs_vac-Aion    	implantedIons_-cm        
1.2000100000e+03         	2.2911571500e-03         	8.8531487851e+00         	4.8107629500e-06         	5.8334000000e-01         
2.4000100000e+03         	3.2392570000e-03         	8.8718227650e+00         	1.6275842500e-05         	1.1666750000e+00         
3.6000100000e+03         	4.4881205000e-03         	8.9027317333e+00         	3.2336833500e-05         	9.1668000000e-01         
4.8000100000e+03         	5.7136790000e-03         	8.9502362512e+00         	4.7359720000e-05         	1.5000100000e+00         
6.0000100000e+03         	5.1763200000e-03         	9.0093750929e+00         	4.1522970000e-05         	1.1666800000e+00         
7.2000100000e+03         	4.1133695000e-03         	9.0436759767e+00         	2.9236390000e-05         	1.1666800000e+00         
8.4000100000e+03         	4.7452670000e-03         	9.0868859430e+00         	3.8119290000e-05         	2.4166800000e+00         
9.6000100000e+03         	5.0576150000e-03         	9.1356105334e+00         	4.2018685000e-05         	2.1666750000e+00         
1.0800000000e+04         	5.3503235000e-03         	9.1910712063e+00         	4.6177220000e-05         	2.7500050000e+00         
1.2000000000e+04         	5.3292420000e-03         	9.2438234170e+00         	4.5525910000e-05         	2.4166650000e+00         
1.3200000000e+04         	5.4324185000e-03         	9.2974444463e+00         	4.6943240000e-05         	1.1666750000e+00         
1.4400000000e+04         	5.4363150000e-03         	9.3518403453e+00         	4.6569750000e-05         	1.7500100000e+00         
1.5600000000e+04         	5.4781300000e-03         	9.4063548737e+00         	4.6538265000e-05         	2.3333400000e+00         
1.6800000000e+04         	6.0127525000e-03         	9.4611886844e+00         	4.9994980000e-05         	2.7500100000e+00         
1.8000000000e+04         	7.4411210000e-03         	9.5305358645e+00         	6.3593965000e-05         	1.9166750000e+00         
1.9200000000e+04         	9.4047245000e-03         	9.6153900475e+00         	8.0315920000e-05         	1.9166850000e+00         
2.0400000000e+04         	9.6550515000e-03         	8.9279238545e+00         	7.9200340000e-05         	2.3333300000e+00         
2.1600000000e+04         	1.6975143000e-03         	7.3742302627e+00         	1.1365474000e-05         	2.2500000000e+00         
2.2800000000e+04         	2.0182238500e-03         	7.3821633792e+00         	1.7858797500e-05         	1.8333350000e+00         
2.4000000000e+04         	2.4916402000e-03         	7.3997178092e+00         	2.9870013500e-05         	2.0000000000e+00         
2.5200000000e+04         	2.9647876000e-03         	7.4264484697e+00         	4.2505180000e-05         	3.0833500000e+00         
2.6400000000e+04         	3.3923812500e-03         	7.4543155142e+00         	5.4014520000e-05         	2.9166700000e+00         
2.7600000000e+04         	3.7304017500e-03         	7.4936957613e+00         	6.1326315000e-05         	3.0833250000e+00         
2.8800000000e+04         	3.6414411000e-03         	7.5351069529e+00         	5.7736450000e-05         	3.3333300000e+00         
3.0000000000e+04         	3.5810921000e-03         	7.5751557578e+00         	5.5509635000e-05         	3.1666700000e+00         
3.1200000000e+04         	3.7796763000e-03         	7.6172782235e+00         	6.3418080000e-05         	1.9166700000e+00         
3.2400000000e+04         	3.7777154000e-03         	7.6611201976e+00         	6.1183145000e-05         	3.0000100000e+00         
3.3600000000e+04         	3.7748358500e-03         	7.7073568602e+00         	6.1256730000e-05         	3.2500150000e+00         
3.4800000000e+04         	3.7515798500e-03         	7.7513236793e+00         	5.9075135000e-05         	4.2499900000e+00         
3.6000000000e+04         	4.0968600000e-03         	7.7977324735e+00         	6.4233845000e-05         	3.4166750000e+00         
3.7200000000e+04         	4.7475830000e-03         	7.8513971412e+00         	7.3053190000e-05         	3.5833350000e+00         
3.8400000000e+04         	5.8557810000e-03         	7.9225859795e+00         	8.8633750000e-05         	4.0833300000e+00         
3.9600000000e+04         	7.8048035000e-03         	8.0110538940e+00         	1.2061759000e-04         	3.4999950000e+00         
4.0800000000e+04         	7.4744900000e-03         	8.0937128605e+00         	9.6006770000e-05         	5.0833550000e+00         
4.2000000000e+04         	4.7766540000e-03         	9.2434273501e+00         	3.8395515000e-05         	5.0833450000e+00         
4.3200000000e+04         	3.7277610000e-03         	1.1139242520e+01         	1.3955154000e-05         	5.1667050000e+00         
4.4400000000e+04         	5.0761660000e-03         	1.1187183777e+01         	3.2198290000e-05         	6.0000100000e+00         
4.5600000000e+04         	6.2951860000e-03         	1.1256519259e+01         	4.6878870000e-05         	5.4166600000e+00         
4.6800000000e+04         	7.0201730000e-03         	1.1356598069e+01         	5.5997335000e-05         	6.0000600000e+00         
4.8000000000e+04         	7.0541905000e-03         	1.1467035656e+01         	5.6327345000e-05         	6.0000300000e+00         
4.9200000000e+04         	7.2265345000e-03         	1.1580885833e+01         	5.8507145000e-05         	6.9166850000e+00         
5.0400000000e+04         	7.3204320000e-03         	1.1697451320e+01         	5.8264010000e-05         	8.8333000000e+00         
5.1600000000e+04         	7.4576470000e-03         	1.1817859237e+01         	6.0620540000e-05         	7.9999950000e+00         
5.2800000000e+04         	7.5642490000e-03         	1.1939579754e+01         	6.0734975000e-05         	9.5000000000e+00         
5.4000000000e+04         	7.7564010000e-03         	1.2067434700e+01         	6.2833155000e-05         	1.0250055000e+01         
5.5200000000e+04         	7.8610990000e-03         	1.2202515585e+01         	6.2060095000e-05         	1.1499940000e+01         
5.6400000000e+04         	8.0537440000e-03         	1.2339049553e+01         	6.5193745000e-05         	1.1750100000e+01         
5.7600000000e+04         	8.3015985000e-03         	1.2483285886e+01         	6.6900205000e-05         	1.2166715000e+01         
5.8800000000e+04         	8.3711320000e-03         	1.2633912501e+01         	6.6512490000e-05         	1.3583415000e+01         
6.0000000000e+04         	8.4978555000e-03         	1.2785683756e+01         	6.7884930000e-05         	1.5333400000e+01         
6.1200000000e+04         	8.9538455000e-03         	1.2950518588e+01         	7.3346495000e-05         	1.5916785000e+01         
6.2400000000e+04         	9.0535385000e-03         	1.3123200647e+01         	7.2567370000e-05         	1.6666735000e+01         
6.3600000000e+04         	9.1040035000e-03         	1.3300307767e+01         	7.2452340000e-05         	1.8249900000e+01         
6.4800000000e+04         	9.4397960000e-03         	1.3487105093e+01         	7.5646600000e-05         	1.9499950000e+01         
6.6000000000e+04         	9.8417215000e-03         	1.3683165209e+01         	8.0433000000e-05         	2.1750050000e+01         
6.7200000000e+04         	9.8883005000e-03         	1.3887347474e+01         	7.8584390000e-05         	2.6166600000e+01         
6.8400000000e+04         	1.0174660500e-02         	1.4108028805e+01         	8.1178345000e-05         	2.8000050000e+01         
6.9600000000e+04         	1.0642243000e-02         	1.4336146944e+01         	8.6208890000e-05         	3.1000050000e+01         
7.0800000000e+04         	1.1057881500e-02         	1.4578250763e+01         	8.9302665000e-05         	3.5333350000e+01         
7.2000000000e+04         	1.1243623500e-02         	1.4835875039e+01         	8.9627105000e-05         	3.4333400000e+01         
7.3200000000e+04         	1.1743726000e-02         	1.5109568654e+01         	9.3446460000e-05         	4.2916600000e+01         
7.4400000000e+04         	1.2194665500e-02         	1.5402776510e+01         	9.7035040000e-05         	4.9416650000e+01         
7.5600000000e+04         	1.2808849500e-02         	1.5712779915e+01         	1.0322469500e-04         	5.8250050000e+01         
7.6800000000e+04         	1.3409674500e-02         	1.6048347181e+01         	1.0827190000e-04         	6.6250100000e+01         
7.8000000000e+04         	1.3962283500e-02         	1.6401439240e+01         	1.1132743000e-04         	7.7083250000e+01         
7.9200000000e+04         	1.4684713500e-02         	1.6785586294e+01         	1.1769730000e-04         	8.5583100000e+01         
