====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 2400 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     4.E+05 AAA ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =50000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
400001.E-02  526028.E-09  287032.E-09
800001.E-02  477133.E-09  642519.E-09
120000.E-01  459049.E-09  119235.E-08
160000.E-01  444889.E-09  858962.E-09
200000.E-01  424259.E-09  947727.E-09
240000.E-01  421420.E-09  119011.E-08
280000.E-01  423742.E-09  114338.E-08
320000.E-01  425534.E-09  152560.E-08
360000.E-01  429013.E-09  126402.E-08
400000.E-01  431818.E-09  119953.E-08
440000.E-01  437387.E-09  129262.E-08
480000.E-01  441064.E-09  107591.E-08
520000.E-01  443262.E-09  122418.E-08
560000.E-01  447202.E-09  116018.E-08
600000.E-01  451971.E-09  108211.E-08
640000.E-01  457598.E-09  153033.E-08
680000.E-01  463893.E-09  132329.E-08
720000.E-01  469262.E-09  125123.E-08
760000.E-01  471930.E-09  184090.E-08
800000.E-01  474739.E-09  120628.E-08
840000.E-01  479402.E-09  132584.E-08
880000.E-01  484371.E-09  132533.E-08
920000.E-01  486936.E-09  123899.E-08
960000.E-01  491231.E-09  134913.E-08
100000.E+00  496945.E-09  138124.E-08
104000.E+00  500477.E-09  125124.E-08
108000.E+00  508671.E-09  140002.E-08
112000.E+00  515519.E-09  135450.E-08
116000.E+00  517684.E-09  127891.E-08
120000.E+00  524296.E-09  120730.E-08
124000.E+00  529002.E-09  143326.E-08
128000.E+00  532093.E-09  150389.E-08
132000.E+00  535665.E-09  157596.E-08
136000.E+00  543479.E-09  160294.E-08
140000.E+00  550946.E-09  151079.E-08
144000.E+00  556425.E-09  134782.E-08
148000.E+00  562912.E-09  163350.E-08
152000.E+00  570676.E-09  143186.E-08
156000.E+00  584343.E-09  164656.E-08
160000.E+00  588655.E-09  205800.E-08
164000.E+00  595383.E-09  218807.E-08
168000.E+00  603692.E-09  158004.E-08
172000.E+00  606108.E-09  155920.E-08
176000.E+00  618339.E-09  206504.E-08
180000.E+00  627430.E-09  172323.E-08
184000.E+00  637716.E-09  152738.E-08
188000.E+00  648120.E-09  164824.E-08
192000.E+00  653864.E-09  179759.E-08
196000.E+00  662772.E-09  187001.E-08
200000.E+00  683352.E-09  200423.E-08
204000.E+00  688726.E-09  230966.E-08
208000.E+00  702546.E-09  186710.E-08
212000.E+00  710397.E-09  199242.E-08
216000.E+00  724695.E-09  211578.E-08
220000.E+00  743863.E-09  254300.E-08
224000.E+00  758475.E-09  194415.E-08
228000.E+00  772296.E-09  236385.E-08
232000.E+00  790259.E-09  207337.E-08
236000.E+00  804981.E-09  226658.E-08
240000.E+00  823017.E-09  238157.E-08
244000.E+00  846142.E-09  238997.E-08
248000.E+00  865348.E-09  279129.E-08
252000.E+00  883042.E-09  273590.E-08
256000.E+00  906971.E-09  250897.E-08
260000.E+00  938614.E-09  266832.E-08
264000.E+00  960036.E-09  292265.E-08
268000.E+00  985615.E-09  278803.E-08
272000.E+00  103433.E-08  305763.E-08
276000.E+00  107601.E-08  306183.E-08
280000.E+00  111020.E-08  304316.E-08
284000.E+00  114705.E-08  331376.E-08
288000.E+00  120192.E-08  365758.E-08
292000.E+00  126570.E-08  333334.E-08
296000.E+00  132990.E-08  404769.E-08
300000.E+00  140876.E-08  411707.E-08
304000.E+00  151006.E-08  408794.E-08
308000.E+00  162670.E-08  463900.E-08
312000.E+00  175606.E-08  476165.E-08
316000.E+00  194582.E-08  533722.E-08
320000.E+00  215620.E-08  574271.E-08
324000.E+00  251980.E-08  707625.E-08
328000.E+00  312055.E-08  845381.E-08
332000.E+00  421170.E-08  107880.E-07
336000.E+00  620760.E-08  154174.E-07
340000.E+00  902268.E-08  204827.E-07
344000.E+00  113975.E-07  252285.E-07
348000.E+00  114929.E-07  241170.E-07
352000.E+00  911587.E-08  186142.E-07
356000.E+00  535738.E-08  105948.E-07
360000.E+00  243544.E-08  468833.E-08
364000.E+00  767779.E-09  143682.E-08
368000.E+00  190005.E-09  356060.E-09
372000.E+00  321182.E-10  565319.E-10
376000.E+00  225409.E-11  488153.E-11
380000.E+00  000000.E+00  000000.E+00
384000.E+00  000000.E+00  000000.E+00
388000.E+00  000000.E+00  000000.E+00
392000.E+00  000000.E+00  000000.E+00
396000.E+00  000000.E+00  000000.E+00
400000.E+00  000000.E+00  000000.E+00
