====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 2400 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     4.E+05 AAA ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =50000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
400001.E-02  524123.E-09  198461.E-09
800001.E-02  480282.E-09  880012.E-09
120000.E-01  463492.E-09  119012.E-08
160000.E-01  445449.E-09  931763.E-09
200000.E-01  425563.E-09  114698.E-08
240000.E-01  427263.E-09  114331.E-08
280000.E-01  428158.E-09  118218.E-08
320000.E-01  432521.E-09  144030.E-08
360000.E-01  432144.E-09  133459.E-08
400000.E-01  434459.E-09  113729.E-08
440000.E-01  439550.E-09  116590.E-08
480000.E-01  442127.E-09  112997.E-08
520000.E-01  448494.E-09  128055.E-08
560000.E-01  452125.E-09  127933.E-08
600000.E-01  453135.E-09  121375.E-08
640000.E-01  457981.E-09  151814.E-08
680000.E-01  462374.E-09  112847.E-08
720000.E-01  466595.E-09  113570.E-08
760000.E-01  468181.E-09  150649.E-08
800000.E-01  471080.E-09  122974.E-08
840000.E-01  477098.E-09  134616.E-08
880000.E-01  481388.E-09  119515.E-08
920000.E-01  484261.E-09  128591.E-08
960000.E-01  489248.E-09  140143.E-08
100000.E+00  496585.E-09  170854.E-08
104000.E+00  502078.E-09  143864.E-08
108000.E+00  505174.E-09  129922.E-08
112000.E+00  509027.E-09  151612.E-08
116000.E+00  512016.E-09  143925.E-08
120000.E+00  521320.E-09  115267.E-08
124000.E+00  526814.E-09  162451.E-08
128000.E+00  529681.E-09  132649.E-08
132000.E+00  534167.E-09  155808.E-08
136000.E+00  546973.E-09  143924.E-08
140000.E+00  551377.E-09  218754.E-08
144000.E+00  554109.E-09  152023.E-08
148000.E+00  559226.E-09  172684.E-08
152000.E+00  569601.E-09  143190.E-08
156000.E+00  576614.E-09  138442.E-08
160000.E+00  586920.E-09  208264.E-08
164000.E+00  592683.E-09  160319.E-08
168000.E+00  596326.E-09  188118.E-08
172000.E+00  607600.E-09  154151.E-08
176000.E+00  617958.E-09  177859.E-08
180000.E+00  626872.E-09  173685.E-08
184000.E+00  634493.E-09  171895.E-08
188000.E+00  640781.E-09  184241.E-08
192000.E+00  648622.E-09  164109.E-08
196000.E+00  667421.E-09  188739.E-08
200000.E+00  680111.E-09  181141.E-08
204000.E+00  685539.E-09  165495.E-08
208000.E+00  700606.E-09  185440.E-08
212000.E+00  717210.E-09  176311.E-08
216000.E+00  730966.E-09  199372.E-08
220000.E+00  741635.E-09  226320.E-08
224000.E+00  755630.E-09  200897.E-08
228000.E+00  767090.E-09  218480.E-08
232000.E+00  784462.E-09  223615.E-08
236000.E+00  799483.E-09  211422.E-08
240000.E+00  816731.E-09  239106.E-08
244000.E+00  843916.E-09  229066.E-08
248000.E+00  871548.E-09  258207.E-08
252000.E+00  892755.E-09  229762.E-08
256000.E+00  909971.E-09  315669.E-08
260000.E+00  942597.E-09  245718.E-08
264000.E+00  964932.E-09  276930.E-08
268000.E+00  100378.E-08  285940.E-08
272000.E+00  103035.E-08  289774.E-08
276000.E+00  106404.E-08  328129.E-08
280000.E+00  110135.E-08  317284.E-08
284000.E+00  115046.E-08  310996.E-08
288000.E+00  118521.E-08  349098.E-08
292000.E+00  125604.E-08  362082.E-08
296000.E+00  132970.E-08  358617.E-08
300000.E+00  140300.E-08  405304.E-08
304000.E+00  148350.E-08  393248.E-08
308000.E+00  160603.E-08  460661.E-08
312000.E+00  174625.E-08  498799.E-08
316000.E+00  192695.E-08  546633.E-08
320000.E+00  215585.E-08  597322.E-08
324000.E+00  250009.E-08  744429.E-08
328000.E+00  308927.E-08  828876.E-08
332000.E+00  424101.E-08  111203.E-07
336000.E+00  621280.E-08  156449.E-07
340000.E+00  904093.E-08  208433.E-07
344000.E+00  113648.E-07  250562.E-07
348000.E+00  115186.E-07  241299.E-07
352000.E+00  913513.E-08  185146.E-07
356000.E+00  540546.E-08  106206.E-07
360000.E+00  242843.E-08  468483.E-08
364000.E+00  786193.E-09  147533.E-08
368000.E+00  200265.E-09  356370.E-09
372000.E+00  351883.E-10  651267.E-10
376000.E+00  102127.E-10  170212.E-10
380000.E+00  863415.E-12  101905.E-11
384000.E+00  000000.E+00  000000.E+00
388000.E+00  000000.E+00  000000.E+00
392000.E+00  000000.E+00  000000.E+00
396000.E+00  000000.E+00  000000.E+00
400000.E+00  000000.E+00  000000.E+00
