# Ic = 2.28 A, n = 2.01 , Tavg = 50.00 K, 0nA-50k-ffj51-0e19pm2-0nA
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-07_13:24:28.890000      13629.46        4.48391000e+00       -6.88184417e-09  49.9840  49.1826  49.5179  0.0000
0202-03-07_13:24:29.242000      13629.81        4.58291000e+00        4.27398583e-09  49.9840  49.1826  49.5179  0.0000
0202-03-07_13:24:29.590000      13630.16        4.68266700e+00        8.11654583e-09  49.9924  49.1829  49.5256  0.0000
0202-03-07_13:24:29.938000      13630.50        4.78188500e+00        3.22037583e-09  49.9924  49.1829  49.5256  0.0000
0202-03-07_13:24:30.293000      13630.86        4.88162500e+00        4.39793583e-09  49.9924  49.1829  49.5256  0.0000
0202-03-07_13:24:30.715000      13631.28        4.98033100e+00        1.21535833e-10  49.9579  49.1827  49.5126  0.0000
0202-03-07_13:24:31.070000      13631.64        5.07997800e+00       -2.00209242e-08  49.9579  49.1827  49.5126  0.0000
0202-03-07_13:24:31.420000      13631.99        5.17938100e+00       -8.12137417e-09  49.9579  49.1827  49.5126  0.0000
0202-03-07_13:24:31.777000      13632.34        5.27872100e+00       -6.01416417e-09  49.9613  49.1823  49.5029  0.0000
0202-03-07_13:24:32.133000      13632.70        5.37816700e+00       -1.29555642e-08  49.9613  49.1823  49.5029  0.0000
0202-03-07_13:24:32.477000      13633.04        5.47781100e+00       -7.00579417e-09  49.9730  49.1813  49.5114  0.0000
0202-03-07_13:24:32.824000      13633.39        5.57693100e+00        2.04281583e-09  49.9730  49.1813  49.5114  0.0000
0202-03-07_13:24:33.170000      13633.74        5.67601000e+00        1.73207583e-09  49.9730  49.1813  49.5114  0.0000
0202-03-07_13:24:33.523000      13634.09        5.77555100e+00        1.28866058e-08  49.9813  49.1820  49.5091  0.0000
0202-03-07_13:24:33.880000      13634.45        5.87502600e+00        2.50340558e-08  49.9813  49.1820  49.5091  0.0000
0202-03-07_13:24:34.227000      13634.79        5.97438000e+00        1.62953358e-08  49.9813  49.1820  49.5091  0.0000
0202-03-07_13:24:34.574000      13635.14        6.07355500e+00        3.89997583e-09  49.9913  49.1818  49.5247  0.0000
0202-03-07_13:24:34.920000      13635.49        6.17315800e+00       -6.32619417e-09  49.9913  49.1818  49.5247  0.0000
0202-03-07_13:24:35.270000      13635.84        6.27239800e+00       -1.40732842e-08  49.9913  49.1818  49.5247  0.0000
0202-03-07_13:24:35.617000      13636.19        6.37151000e+00       -3.14444167e-10  49.9855  49.1834  49.5201  0.0000
0202-03-07_13:24:35.965000      13636.53        6.47085400e+00        1.98280058e-08  49.9855  49.1834  49.5201  0.0000
0202-03-07_13:24:36.336000      13636.90        6.57035200e+00        1.73079583e-09  49.9855  49.1834  49.5201  0.0000
0202-03-07_13:24:36.707000      13637.27        6.67002200e+00       -3.13028242e-08  49.9779  49.1826  49.5147  0.0000
0202-03-07_13:24:37.055000      13637.62        6.76864200e+00       -3.32241042e-08  49.9779  49.1826  49.5147  0.0000
0202-03-07_13:24:37.418000      13637.98        6.86854700e+00       -3.91738742e-08  49.9779  49.1826  49.5147  0.0000
0202-03-07_13:24:37.766000      13638.33        6.96780200e+00       -5.81387742e-08  49.9711  49.1843  49.5212  0.0000
