====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1200 keV
 Total Ions calculated =50000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 5.846E22 atoms/cm3 = 10.47 g/cm3
  Layer # 1- Ag = 100  Atomic Percent = 100  Mass Percent
Layer  2 : None
Layer Width = 20000.E+00 AAA ;
  Layer # 2- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 2-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 2- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 2- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 2-  O = 53.8 Atomic Percent = 16.8 Mass Percent
Layer  3 : None
Layer Width = 40000.E-02 AAA ;
  Layer # 3- Density = 8.142E22 atoms/cm3 = 6.54 g/cm3
  Layer # 3- La = 20   Atomic Percent = 57.4 Mass Percent
  Layer # 3- Mn = 20   Atomic Percent = 22.7 Mass Percent
  Layer # 3-  O = 60   Atomic Percent = 19.8 Mass Percent
Layer  4 : None
Layer Width = 50000.E-02 AAA ;
  Layer # 4- Density = 10.69E22 atoms/cm3 = 3.58 g/cm3
  Layer # 4- Mg = 50   Atomic Percent = 60.3 Mass Percent
  Layer # 4-  O = 50   Atomic Percent = 39.6 Mass Percent
Layer  5 : None
Layer Width = 10000.E-02 AAA ;
  Layer # 5- Density = 6.680E22 atoms/cm3 = 5.01 g/cm3
  Layer # 5-  Y = 40   Atomic Percent = 78.7 Mass Percent
  Layer # 5-  O = 60   Atomic Percent = 21.2 Mass Percent
Layer  6 : None
Layer Width = 50000.E-02 AAA ;
  Layer # 6- Density = 11.66E22 atoms/cm3 = 3.95 g/cm3
  Layer # 6- Al = 40   Atomic Percent = 52.9 Mass Percent
  Layer # 6-  O = 60   Atomic Percent = 47.0 Mass Percent
Layer  7 : None
Layer Width = 10000.E+01 AAA ;
  Layer # 7- Density = 7.709E22 atoms/cm3 = 8.89 g/cm3
  Layer # 7- Ni = 55.2 Atomic Percent = 46.7 Mass Percent
  Layer # 7- Mo = 17.0 Atomic Percent = 23.6 Mass Percent
  Layer # 7- Cr = 16.0 Atomic Percent = 12.0 Mass Percent
  Layer # 7- Fe = 7.03 Atomic Percent = 5.65 Mass Percent
  Layer # 7-  W = 4.52 Atomic Percent = 11.9 Mass Percent
====================================================================
 Ion Average Range = 958626.E-01 A   Straggling = 476015.E-02 A
 Ion Lateral Range = 674331.E-02 A   Straggling = 931723.E-02 A
 Ion Radial  Range = 105902.E-01 A   Straggling = 785360.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1415010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2830010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4245010.E-03 60433932.E-03 63363600.E-03 70107040.E-03 12578294.E-03 
5660010.E-03 15589709.E-03 15589709.E-03 76988575.E-03 00000000.E+00 
7075010.E-03 48746550.E-03 48746550.E-03 79417891.E-03 00000000.E+00 
8490010.E-03 10716048.E-03 12309336.E-03 73544111.E-03 26059974.E-04 
9905010.E-03 34033371.E-03 42261580.E-03 41854439.E-03 17832288.E-03 
1132001.E-02 32595676.E-03 32719363.E-03 68011713.E-03 15988975.E-03 
1273501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1415001.E-02 64047046.E-03 64047046.E-03 79055887.E-03 00000000.E+00 
1556501.E-02 26752692.E-03 36240031.E-03 47887044.E-03 20991891.E-03 
1698001.E-02 55988211.E-03 59864537.E-03 74566195.E-03 99133763.E-04 
1839501.E-02 82135557.E-04 11553724.E-03 70762508.E-03 28440185.E-04 
1981001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2122501.E-02 10012385.E-03 10012385.E-03 40877891.E-03 00000000.E+00 
2264001.E-02 40324671.E-03 48702577.E-03 78695348.E-03 22647141.E-04 
2405501.E-02 28613611.E-03 29067213.E-03 68676457.E-03 70800586.E-04 
2547001.E-02 61631885.E-03 66249811.E-03 86739100.E-03 28862812.E-04 
2688501.E-02 30823384.E-03 30823384.E-03 87418558.E-03 00000000.E+00 
2830001.E-02 51697360.E-03 53232792.E-03 54656424.E-03 98725090.E-04 
2971501.E-02 40056700.E-03 52566169.E-03 71104041.E-03 29943544.E-04 
3113001.E-02 58783593.E-03 65578529.E-03 70547995.E-03 21683314.E-03 
3254501.E-02 28241163.E-03 30759052.E-03 46688762.E-03 20320851.E-03 
3396001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3537501.E-02 21405301.E-03 24058328.E-03 55989860.E-03 28236451.E-03 
3679001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3820501.E-02 26775958.E-03 30107486.E-03 66786934.E-03 24649743.E-03 
3962001.E-02 50003007.E-03 54134495.E-03 72497470.E-03 26527198.E-03 
4103501.E-02 45112245.E-03 46250505.E-03 64504112.E-03 10564485.E-03 
4245001.E-02 48557670.E-03 57045470.E-03 84792853.E-03 56016822.E-04 
4386501.E-02 30378108.E-03 37185349.E-03 46191219.E-03 16187719.E-03 
4528001.E-02 26408015.E-03 46240578.E-03 44682816.E-03 28351557.E-03 
4669501.E-02 44808225.E-03 47575816.E-03 67496358.E-03 19401624.E-03 
4811001.E-02 33032664.E-03 41945478.E-03 40351462.E-03 25286048.E-03 
4952501.E-02 36656500.E-03 48310408.E-03 46318413.E-03 31238921.E-03 
5094001.E-02 38018212.E-03 48380203.E-03 71272778.E-03 16681947.E-03 
5235501.E-02 33982580.E-03 41396159.E-03 62446721.E-03 20732291.E-03 
5377001.E-02 38764069.E-03 44258840.E-03 53291044.E-03 21318754.E-03 
5518501.E-02 54569785.E-03 57979957.E-03 65342663.E-03 21749166.E-03 
