                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
4860001.E-02 15438629.E-03 16044918.E-03 38975876.E-03 61925807.E-04 
4981501.E-02 16630585.E-03 19168358.E-03 31777198.E-03 16475986.E-03 
5103001.E-02 12225877.E-03 12645669.E-03 19348615.E-03 43215403.E-04 
5224501.E-02 21463104.E-03 25620437.E-03 27599711.E-03 15261702.E-03 
5346001.E-02 19640974.E-03 23983249.E-03 31906599.E-03 10826820.E-03 
5467501.E-02 19101700.E-03 23088593.E-03 29443431.E-03 14554637.E-03 
5589001.E-02 20350670.E-03 24269726.E-03 33030624.E-03 17328311.E-03 
5710501.E-02 18622599.E-03 22883985.E-03 33188397.E-03 14443161.E-03 
5832001.E-02 21866701.E-03 26445715.E-03 32178004.E-03 11762244.E-03 
5953501.E-02 29278717.E-03 32453194.E-03 39255171.E-03 10964888.E-03 
6075001.E-02 22771127.E-03 25868078.E-03 30890582.E-03 11173850.E-03 
6196501.E-02 19893375.E-03 24137255.E-03 32454446.E-03 11589555.E-03 
6318001.E-02 16434608.E-03 19576786.E-03 27083596.E-03 10695672.E-03 
6439501.E-02 12206636.E-03 14788217.E-03 23109723.E-03 11414693.E-03 
6561001.E-02 13331349.E-03 16835740.E-03 20695479.E-03 11034955.E-03 
6682501.E-02 13942789.E-03 17303043.E-03 22235206.E-03 10644318.E-03 
6804001.E-02 13081575.E-03 16462252.E-03 20323004.E-03 93783089.E-04 
6925501.E-02 11855900.E-03 13961057.E-03 18636413.E-03 81259917.E-04 
7047001.E-02 10773455.E-03 13305938.E-03 16765577.E-03 79039501.E-04 
7168501.E-02 85481411.E-04 10657782.E-03 13793366.E-03 68950983.E-04 
7290001.E-02 71877723.E-04 89768708.E-04 11295393.E-03 57431384.E-04 
7411501.E-02 60601023.E-04 76147860.E-04 95602851.E-04 50456944.E-04 
7533001.E-02 53320735.E-04 67129393.E-04 83969894.E-04 45074578.E-04 
7654501.E-02 47149616.E-04 59417864.E-04 74296569.E-04 40060926.E-04 
7776001.E-02 44141195.E-04 55527582.E-04 68695964.E-04 36649616.E-04 
