# Ic =  nan A, n =  nan , Tavg = 50.09 K, 50k-30p4pm2-anneal300k-720min-0T
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-04-01_02:26:57.906000      46591.71        4.48717600e+00       -8.74110667e-08  50.0928  48.8429  49.1710  0.0000
0202-04-01_02:26:58.258000      46592.06        4.58633700e+00       -9.39831667e-08  50.0787  48.8423  49.1588  0.0000
0202-04-01_02:26:58.600000      46592.41        4.68575000e+00       -8.73516667e-08  50.0787  48.8423  49.1588  0.0000
0202-04-01_02:26:58.950000      46592.75        4.78526700e+00       -8.79093667e-08  50.0722  48.8419  49.1553  0.0000
0202-04-01_02:26:59.305000      46593.11        4.88475200e+00       -8.92109667e-08  50.0722  48.8419  49.1553  0.0000
0202-04-01_02:26:59.652000      46593.45        4.98403800e+00       -9.35492667e-08  50.0722  48.8419  49.1553  0.0000
                                46593.80        5.08301800e+00       -9.04504667e-08  50.0714  48.8419  49.1633  0.0000
0202-04-01_02:27:00.348000      46594.15        5.18262600e+00       -8.89010667e-08  50.0714  48.8419  49.1633  0.0000
0202-04-01_02:27:00.703000      46594.50        5.28206800e+00       -8.95827667e-08  50.0714  48.8419  49.1633  0.0000
0202-04-01_02:27:01.050000      46594.85        5.38149900e+00       -8.53683667e-08  50.0774  48.8417  49.1576  0.0000
0202-04-01_02:27:01.406000      46595.21        5.48078500e+00       -8.51204667e-08  50.0774  48.8417  49.1576  0.0000
0202-04-01_02:27:01.766000      46595.57        5.58019000e+00       -8.15877667e-08  50.0774  48.8417  49.1576  0.0000
0202-04-01_02:27:02.113000      46595.91        5.67954400e+00       -5.81604667e-08  50.0951  48.8415  49.1656  0.0000
0202-04-01_02:27:02.460000      46596.26        5.77900100e+00       -3.67164667e-08  50.0951  48.8415  49.1656  0.0000
0202-04-01_02:27:02.824000      46596.62        5.87842000e+00       -7.89716667e-09  50.0951  48.8415  49.1656  0.0000
0202-04-01_02:27:03.234000      46597.03        5.97765300e+00        4.27379333e-08  50.0891  48.8414  49.1583  0.0000
0202-04-01_02:27:03.580000      46597.38        6.07728700e+00        1.07689733e-07  50.0891  48.8414  49.1583  0.0000
0202-04-01_02:27:03.930000      46597.73        6.17664400e+00        1.88569633e-07  50.0891  48.8414  49.1583  0.0000
0202-04-01_02:27:04.277000      46598.08        6.27596600e+00        3.24918933e-07  50.0851  48.8416  49.1688  0.0000
0202-04-01_02:27:04.625000      46598.43        6.37541900e+00        5.02854733e-07  50.0851  48.8416  49.1688  0.0000
0202-04-01_02:27:04.973000      46598.77        6.47456300e+00        7.23554553e-07  50.0803  48.8413  49.1656  0.0000
0202-04-01_02:27:05.320000      46599.12        6.57415000e+00        1.02451455e-06  50.0803  48.8413  49.1656  0.0000
0202-04-01_02:27:05.668000      46599.47        6.67384300e+00        1.40994911e-06  50.0803  48.8413  49.1656  0.0000
0202-04-01_02:27:06.016000      46599.82        6.77309800e+00        1.84465533e-06  50.0901  48.8412  49.1692  0.0000
0202-04-01_02:27:06.360000      46600.16        6.87245700e+00        2.51989404e-06  50.0901  48.8412  49.1692  0.0000
0202-04-01_02:27:06.707000      46600.51        6.97190700e+00        3.73811267e-06  50.0901  48.8412  49.1692  0.0000
0202-04-01_02:27:07.055000      46600.86        7.07080600e+00        4.81725507e-06  50.0818  48.8414  49.1631  0.0000
0202-04-01_02:27:07.402000      46601.21        7.17027000e+00        6.12379083e-06  50.0818  48.8414  49.1631  0.0000
0202-04-01_02:27:07.750000      46601.55        7.26985000e+00        7.75043747e-06  50.0818  48.8414  49.1631  0.0000
0202-04-01_02:27:08.100000      46601.90        7.36874600e+00        9.79672994e-06  50.1020  48.8411  49.1713  0.0000
0202-04-01_02:27:08.450000      46602.25        7.46808700e+00        1.22556135e-05  50.1020  48.8411  49.1713  0.0000
0202-04-01_02:27:08.797000      46602.60        7.56795600e+00        1.51796410e-05  50.1020  48.8411  49.1713  0.0000
0202-04-01_02:27:09.145000      46602.95        7.66737500e+00        1.87916164e-05  50.0888  48.8409  49.1659  0.0000
0202-04-01_02:27:09.492000      46603.29        7.76693300e+00        2.31041930e-05  50.0888  48.8409  49.1659  0.0000
