% Model:              permanent_magnet_more_air.mph.mph
% Version:            COMSOL 6.0.0.405
% Date:               Aug 5 2025, 19:19
% Dimension:          1
% Nodes:              70
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Magnetic flux density norm
0.0052625                 0.36557585785922725
0.0054037639550015264     0.3490813548513723
0.005496522593853339      0.33852363589658857
0.005640399381319042      0.32233143405275994
0.005803745818651641      0.30490359199726197
0.005909494295481711      0.29382471386332615
0.006115893978378459      0.27425081458618983
0.006371974815127919      0.24992048221729934
0.006587225469359909      0.233284243954662
0.006824111740175134      0.21425962726963496
0.007102429600173472      0.19656629736790818
0.007287628907495332      0.18433720719272584
0.007544580163695668      0.17097082171473008
0.007816074769565137      0.15725084742654077
0.007933717882827707      0.1512970016003523
0.008555574743119448      0.12638394999154173
0.008934410926728786      0.11351436964702383
0.009717842894424115      0.09526782032258868
0.009904084383579584      0.09055862035066745
0.011111712541844971      0.0709835919875586
0.011202296301454796      0.0696026107592886
0.011358239333274692      0.0663449683071374
0.012722426523544557      0.05106312289369963
0.013603704979064227      0.04507879342630362
0.014022409663194863      0.04202616791645964
0.015312608751401842      0.035035389722771544
0.01575545939876712       0.032818007345912725
0.01659930411898395       0.029517764812295323
0.017979886893351484      0.024524338448254086
0.019462879703456715      0.021156239491270906
0.02023952282073391       0.019210559998769878
0.021117761481378464      0.01782420022903432
0.022876517452794468      0.015059661159791408
0.02372241874604595       0.014080935132390606
0.026164297863763827      0.01139361054042277
0.02722878418011901       0.010515361760600188
0.029054056748747455      0.009168295854819406
0.030759708165177674      0.008220275848914098
0.03168513663204663       0.007691414030378935
0.03366429190068547       0.006830435846746866
0.03391415368439395       0.006705671638139789
0.03402544177296131       0.006678666716997004
0.03579145879222484       0.006026355227837247
0.03671929872327609       0.005729887234850202
0.03735034247255896       0.005527390778750745
0.03832582368998229       0.005254132041502785
0.038679032659623816      0.0051500183950906955
0.038907006937652255      0.005094616626831479
0.039816050950274545      0.00485980590420606
0.04040228709282233       0.004721615383993923
0.04068816614068513       0.004654641218127099
0.04124120091221091       0.004527847694145798
0.041951012428382534      0.004376181265025246
0.04199282610276078       0.0043666392712935044
0.04208244692890854       0.0043485565922366355
0.04268148430173946       0.004225437897729552
0.04296232350879543       0.004171169338786019
0.04333849584677848       0.0040975391322266375
0.04375648679007453       0.004019822202665757
0.043826853480758         0.004006346494521491
0.04388921914734167       0.003995099107399662
0.04424240380584972       0.00393072502056793
0.0445807806869122        0.00387118745372617
0.044595464721670613      0.0038686124546288394
0.04461400322604327       0.0038653490347987413
0.04491666283573277       0.003812988050418902
0.045149725064885016      0.003773542134964405
0.04514980354503379       0.003773532017728738
0.04514988071151924       0.0037735061474946175
0.0452625                 0.003754648141901158
