====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1200 keV
 Total Ions calculated =50000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 14000.E+01 AAA ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Ion Average Range = 119562.E+00 A   Straggling = 549600.E-02 A
 Ion Lateral Range = 731365.E-02 A   Straggling = 101703.E-01 A
 Ion Radial  Range = 114558.E-01 A   Straggling = 853867.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
7980001.E-02 46561492.E-03 48792953.E-03 56999169.E-03 16133901.E-03 
8120001.E-02 24249978.E-03 33284420.E-03 49179615.E-03 18929497.E-03 
8260001.E-02 29139978.E-03 33811470.E-03 47036302.E-03 20265551.E-03 
8400001.E-02 37439995.E-03 45317936.E-03 50222875.E-03 21452202.E-03 
8540001.E-02 29891143.E-03 33045312.E-03 49873886.E-03 17976948.E-03 
8680001.E-02 32387912.E-03 35000344.E-03 57313067.E-03 15186255.E-03 
8820001.E-02 21452311.E-03 27692907.E-03 38368172.E-03 22277411.E-03 
8960001.E-02 31154931.E-03 35832408.E-03 44463825.E-03 21076797.E-03 
9100001.E-02 25587085.E-03 30649466.E-03 43314420.E-03 16628292.E-03 
9240001.E-02 29534925.E-03 34481381.E-03 38577939.E-03 17809825.E-03 
9380001.E-02 30145894.E-03 35589376.E-03 38133847.E-03 18631645.E-03 
9520001.E-02 33804921.E-03 38904997.E-03 49998946.E-03 14812076.E-03 
9660001.E-02 28203557.E-03 33449990.E-03 40784523.E-03 17922391.E-03 
9800001.E-02 29582603.E-03 34204123.E-03 45090268.E-03 15100568.E-03 
9940001.E-02 28205498.E-03 33035434.E-03 40277047.E-03 17331768.E-03 
1008000.E-01 20576604.E-03 25740265.E-03 34266601.E-03 16075593.E-03 
1022000.E-01 23351575.E-03 28765564.E-03 36634900.E-03 16993851.E-03 
1036000.E-01 22453729.E-03 26919147.E-03 36180847.E-03 14245120.E-03 
1050000.E-01 21371507.E-03 25562373.E-03 33309945.E-03 13538558.E-03 
1064000.E-01 22615172.E-03 26918029.E-03 34915766.E-03 14183823.E-03 
1078000.E-01 18969935.E-03 23627781.E-03 28860700.E-03 14346599.E-03 
1092000.E-01 19157943.E-03 23094565.E-03 28802545.E-03 12859964.E-03 
1106000.E-01 17929831.E-03 21391535.E-03 26580102.E-03 11847276.E-03 
1120000.E-01 16076868.E-03 19571114.E-03 24960937.E-03 11051053.E-03 
1134000.E-01 13230881.E-03 16208297.E-03 20756813.E-03 10035048.E-03 
1148000.E-01 10761195.E-03 13506666.E-03 17338747.E-03 88593259.E-04 
1162000.E-01 94129799.E-04 11877139.E-03 14544815.E-03 80236728.E-04 
1176000.E-01 81148941.E-04 10380791.E-03 12809758.E-03 73106255.E-04 
1190000.E-01 71695439.E-04 91847306.E-04 11240007.E-03 64806598.E-04 
1204000.E-01 64690718.E-04 82578096.E-04 10217006.E-03 58194934.E-04 
1218000.E-01 60018954.E-04 76670301.E-04 94682922.E-04 53214059.E-04 
1232000.E-01 56507233.E-04 72166457.E-04 89324055.E-04 49949173.E-04 
1246000.E-01 54414511.E-04 69099430.E-04 84918761.E-04 47600364.E-04 
1260000.E-01 52770332.E-04 66383252.E-04 81743836.E-04 44864704.E-04 
1274000.E-01 50052835.E-04 63233476.E-04 77472180.E-04 40703520.E-04 
1288000.E-01 51178281.E-04 64818590.E-04 75905894.E-04 39959518.E-04 
1302000.E-01 51550057.E-04 61864626.E-04 73987295.E-04 36393399.E-04 
1316000.E-01 30351454.E-04 38507091.E-04 50782475.E-04 26686040.E-04 
1330000.E-01 20973506.E-05 20973506.E-05 72265012.E-04 00000000.E+00 
1344000.E-01 41111415.E-04 47582994.E-04 45733511.E-04 21561818.E-04 
1358000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1372000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1386000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1400000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
