====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 1200 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+05 AAA ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =50000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
140001.E-02  100719.E-08  276424.E-09
280001.E-02  936124.E-09  112030.E-08
420001.E-02  894081.E-09  169754.E-08
560001.E-02  866064.E-09  225441.E-08
700001.E-02  855783.E-09  274774.E-08
840001.E-02  837186.E-09  126170.E-08
980001.E-02  818468.E-09  152174.E-08
112000.E-01  806831.E-09  236719.E-08
126000.E-01  808074.E-09  224864.E-08
140000.E-01  812160.E-09  241984.E-08
154000.E-01  818256.E-09  191583.E-08
168000.E-01  820646.E-09  222893.E-08
182000.E-01  829240.E-09  200580.E-08
196000.E-01  834672.E-09  277993.E-08
210000.E-01  843401.E-09  199706.E-08
224000.E-01  851873.E-09  243747.E-08
238000.E-01  855302.E-09  211581.E-08
252000.E-01  863565.E-09  265341.E-08
266000.E-01  871296.E-09  240852.E-08
280000.E-01  878362.E-09  233691.E-08
294000.E-01  883966.E-09  253047.E-08
308000.E-01  895988.E-09  251311.E-08
322000.E-01  908522.E-09  266491.E-08
336000.E-01  928152.E-09  263150.E-08
350000.E-01  929442.E-09  246005.E-08
364000.E-01  947606.E-09  323724.E-08
378000.E-01  955718.E-09  279980.E-08
392000.E-01  958961.E-09  340338.E-08
406000.E-01  969826.E-09  276888.E-08
420000.E-01  974416.E-09  264459.E-08
434000.E-01  986471.E-09  248369.E-08
448000.E-01  999408.E-09  306830.E-08
462000.E-01  101460.E-08  331375.E-08
476000.E-01  101906.E-08  278637.E-08
490000.E-01  103597.E-08  287516.E-08
504000.E-01  104612.E-08  288349.E-08
518000.E-01  106062.E-08  321541.E-08
532000.E-01  107238.E-08  307282.E-08
546000.E-01  109274.E-08  284526.E-08
560000.E-01  110422.E-08  364319.E-08
574000.E-01  112383.E-08  342332.E-08
588000.E-01  113977.E-08  320605.E-08
602000.E-01  114942.E-08  358380.E-08
616000.E-01  116654.E-08  304375.E-08
630000.E-01  117693.E-08  329840.E-08
644000.E-01  120340.E-08  301721.E-08
658000.E-01  122932.E-08  319285.E-08
672000.E-01  123489.E-08  292655.E-08
686000.E-01  126036.E-08  403422.E-08
700000.E-01  128151.E-08  369807.E-08
714000.E-01  133262.E-08  391189.E-08
728000.E-01  133978.E-08  348521.E-08
742000.E-01  134824.E-08  349661.E-08
756000.E-01  136346.E-08  317741.E-08
770000.E-01  140221.E-08  422398.E-08
784000.E-01  142732.E-08  457764.E-08
798000.E-01  147048.E-08  396813.E-08
812000.E-01  151191.E-08  440199.E-08
826000.E-01  155338.E-08  470593.E-08
840000.E-01  158668.E-08  474128.E-08
854000.E-01  160971.E-08  426156.E-08
868000.E-01  167328.E-08  425968.E-08
882000.E-01  171330.E-08  470675.E-08
896000.E-01  178256.E-08  492628.E-08
910000.E-01  183511.E-08  515532.E-08
924000.E-01  190891.E-08  573550.E-08
938000.E-01  195797.E-08  541083.E-08
952000.E-01  207827.E-08  642713.E-08
966000.E-01  214407.E-08  594562.E-08
980000.E-01  227036.E-08  632479.E-08
994000.E-01  239212.E-08  680455.E-08
100800.E+00  246565.E-08  676109.E-08
102200.E+00  261836.E-08  786937.E-08
103600.E+00  281002.E-08  830427.E-08
105000.E+00  297989.E-08  844029.E-08
106400.E+00  325937.E-08  949550.E-08
107800.E+00  361779.E-08  979691.E-08
109200.E+00  412891.E-08  116382.E-07
110600.E+00  467193.E-08  133859.E-07
112000.E+00  545793.E-08  140213.E-07
113400.E+00  700778.E-08  185768.E-07
114800.E+00  931145.E-08  231606.E-07
116200.E+00  128571.E-07  303238.E-07
117600.E+00  175783.E-07  396461.E-07
119000.E+00  222809.E-07  472073.E-07
120400.E+00  244012.E-07  494273.E-07
121800.E+00  227312.E-07  445058.E-07
123200.E+00  171887.E-07  319772.E-07
124600.E+00  106086.E-07  194003.E-07
126000.E+00  522620.E-08  925444.E-08
127400.E+00  214983.E-08  369311.E-08
128800.E+00  631213.E-09  106084.E-08
130200.E+00  124072.E-09  228872.E-09
131600.E+00  227093.E-10  379530.E-10
133000.E+00  474492.E-11  851226.E-11
134400.E+00  167770.E-12  264457.E-12
135800.E+00  000000.E+00  000000.E+00
137200.E+00  000000.E+00  000000.E+00
138600.E+00  000000.E+00  000000.E+00
140000.E+00  000000.E+00  000000.E+00
