# Ic = 15.37 A, n = 27.70 , Tavg = 25.49 K, 25k-30p4pm2-anneal300k-720min-0T
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-04-01_01:47:32.742000      44226.54        1.55132700e+01        2.90700483e-07  25.4811  22.6784  22.8393  0.0000
0202-04-01_01:47:33.090000      44226.89        1.58106400e+01        4.81527583e-07  25.4863  22.6843  22.8451  0.0000
0202-04-01_01:47:33.438000      44227.24        1.61096200e+01        7.29001623e-07  25.4863  22.6843  22.8451  0.0000
0202-04-01_01:47:33.793000      44227.60        1.64079400e+01        1.19965473e-06  25.4863  22.6843  22.8451  0.0000
0202-04-01_01:47:34.152000      44227.96        1.67053400e+01        1.94325442e-06  25.4938  22.6805  22.8547  0.0000
0202-04-01_01:47:34.516000      44228.32        1.70029100e+01        3.60175815e-06  25.4938  22.6805  22.8547  0.0000
0202-04-01_01:47:34.902000      44228.70        1.73011300e+01        5.40293287e-06  25.4938  22.6805  22.8547  0.0000
0202-04-01_01:47:35.260000      44229.06        1.75986800e+01        8.62593022e-06  25.4837  22.6803  22.8381  0.0000
0202-04-01_01:47:35.610000      44229.41        1.78970000e+01        1.34019663e-05  25.4837  22.6803  22.8381  0.0000
0202-04-01_01:47:35.970000      44229.77        1.81953100e+01        2.13050689e-05  25.4913  22.6838  22.8493  0.0000
